queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,deq,1,0,100000,0.005871,17032270,0,0,0,0,42,83,166
moodycamel,deq,1,1,100000,0.005738,17427423,0,0,0,0,42,42,125
moodycamel,deq,1,2,100000,0.005816,17193948,0,0,0,0,42,42,166
moodycamel,deq,1,3,100000,0.005874,17024296,0,0,0,0,42,42,166
moodycamel,deq,1,4,100000,0.005760,17362492,0,0,0,0,42,42,125
moodycamel,deq,1,5,100000,0.005874,17025021,0,0,0,0,42,42,167
moodycamel,deq,1,6,100000,0.005790,17272526,0,0,0,0,42,42,125
moodycamel,deq,1,7,100000,0.005685,17591180,0,0,0,0,42,42,125
moodycamel,deq,1,8,100000,0.005764,17348061,0,0,0,0,42,42,125
moodycamel,deq,1,9,100000,0.005780,17302161,0,0,0,0,42,42,125
moodycamel,deq,2,0,200000,0.020237,9883111,0,0,0,0,167,250,625
moodycamel,deq,2,1,200000,0.019976,10012244,0,0,0,0,167,250,625
moodycamel,deq,2,2,200000,0.015053,13286130,0,0,0,0,125,208,416
moodycamel,deq,2,3,200000,0.015123,13225072,0,0,0,0,125,208,250
moodycamel,deq,2,4,200000,0.015072,13269896,0,0,0,0,125,208,459
moodycamel,deq,2,5,200000,0.015379,13004571,0,0,0,0,125,208,458
moodycamel,deq,2,6,200000,0.014717,13589302,0,0,0,0,125,167,250
moodycamel,deq,2,7,200000,0.014727,13580921,0,0,0,0,125,167,250
moodycamel,deq,2,8,200000,0.014714,13592728,0,0,0,0,125,167,250
moodycamel,deq,2,9,200000,0.014717,13589957,0,0,0,0,125,167,250
moodycamel,deq,4,0,400000,0.029661,13485892,0,0,0,0,250,584,958
moodycamel,deq,4,1,400000,0.031149,12841675,0,0,0,0,250,667,959
moodycamel,deq,4,2,400000,0.031006,12900711,0,0,0,0,250,667,959
moodycamel,deq,4,3,400000,0.028064,14253178,0,0,0,0,250,458,625
moodycamel,deq,4,4,400000,0.030184,13252164,0,0,0,0,250,625,959
moodycamel,deq,4,5,400000,0.032680,12240074,0,0,0,0,250,791,1042
moodycamel,deq,4,6,400000,0.034669,11537533,0,0,0,0,291,875,1084
moodycamel,deq,4,7,400000,0.035117,11390657,0,0,0,0,291,875,1167
moodycamel,deq,4,8,400000,0.034066,11741827,0,0,0,0,250,792,1042
moodycamel,deq,4,9,400000,0.033115,12079073,0,0,0,0,250,708,1042
moodycamel,deq,8,0,800000,0.106467,7514083,0,0,0,0,875,1917,9375
moodycamel,deq,8,1,800000,0.104949,7622762,0,0,0,0,875,1875,8209
moodycamel,deq,8,2,800000,0.102371,7814704,0,0,0,0,709,1833,13959
moodycamel,deq,8,3,800000,0.104913,7625393,0,0,0,0,792,1875,15709
moodycamel,deq,8,4,800000,0.106854,7486828,0,0,0,0,875,1916,11166
moodycamel,deq,8,5,800000,0.106970,7478724,0,0,0,0,916,1917,8458
moodycamel,deq,8,6,800000,0.106613,7503790,0,0,0,0,875,1875,8541
moodycamel,deq,8,7,800000,0.103742,7711423,0,0,0,0,792,1875,8375
moodycamel,deq,8,8,800000,0.105129,7609720,0,0,0,0,792,1875,7459
moodycamel,deq,8,9,800000,0.106472,7513701,0,0,0,0,875,1917,9000
