queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,deq,1,0,100000,0.006871,14553658,0,0,0,0,42,917,959
ms-hp,deq,1,1,100000,0.006843,14613830,0,0,0,0,42,917,959
ms-hp,deq,1,2,100000,0.006843,14613653,0,0,0,0,42,917,959
ms-hp,deq,1,3,100000,0.006886,14522835,0,0,0,0,42,917,959
ms-hp,deq,1,4,100000,0.006889,14515632,0,0,0,0,42,917,959
ms-hp,deq,1,5,100000,0.006906,14481211,0,0,0,0,42,917,959
ms-hp,deq,1,6,100000,0.007008,14269577,0,0,0,0,42,917,959
ms-hp,deq,1,7,100000,0.006961,14365409,0,0,0,0,42,917,959
ms-hp,deq,1,8,100000,0.006631,15080870,0,0,0,0,41,875,958
ms-hp,deq,1,9,100000,0.006416,15585024,0,0,0,0,41,875,916
ms-hp,deq,2,0,200000,0.015775,12678322,0,0,0,0,125,1167,1291
ms-hp,deq,2,1,200000,0.015389,12996648,0,0,0,0,125,1125,1250
ms-hp,deq,2,2,200000,0.015226,13135318,0,0,0,0,125,1125,1209
ms-hp,deq,2,3,200000,0.015477,12922645,0,0,0,0,125,1125,1250
ms-hp,deq,2,4,200000,0.015882,12593005,0,0,0,0,125,1166,1250
ms-hp,deq,2,5,200000,0.015750,12698077,0,0,0,0,125,1125,1209
ms-hp,deq,2,6,200000,0.015759,12691396,0,0,0,0,125,1125,1250
ms-hp,deq,2,7,200000,0.015738,12708196,0,0,0,0,125,1125,1250
ms-hp,deq,2,8,200000,0.015174,13180042,0,0,0,0,125,1083,1250
ms-hp,deq,2,9,200000,0.014457,13833690,0,0,0,0,125,1083,1167
ms-hp,deq,4,0,400000,0.035955,11124953,0,0,0,0,250,2708,10084
ms-hp,deq,4,1,400000,0.037928,10546275,0,0,0,0,250,2333,10917
ms-hp,deq,4,2,400000,0.036214,11045465,0,0,0,0,250,2125,9250
ms-hp,deq,4,3,400000,0.037125,10774495,0,0,0,0,250,2750,10916
ms-hp,deq,4,4,400000,0.036325,11011839,0,0,0,0,250,2500,9375
ms-hp,deq,4,5,400000,0.037979,10532044,0,0,0,0,250,2459,10333
ms-hp,deq,4,6,400000,0.036268,11029120,0,0,0,0,250,2708,9834
ms-hp,deq,4,7,400000,0.036909,10837355,0,0,0,0,250,2500,10666
ms-hp,deq,4,8,400000,0.036896,10841382,0,0,0,0,250,2417,10292
ms-hp,deq,4,9,400000,0.037869,10562660,0,0,0,0,250,2667,10750
ms-hp,deq,8,0,800000,0.153183,5222517,0,0,0,0,667,11875,51042
ms-hp,deq,8,1,800000,0.159200,5025122,0,0,0,0,708,13000,50291
ms-hp,deq,8,2,800000,0.156515,5111346,0,0,0,0,708,11917,52875
ms-hp,deq,8,3,800000,0.150461,5317006,0,0,0,0,666,12167,49792
ms-hp,deq,8,4,800000,0.150625,5311214,0,0,0,0,667,11708,45458
ms-hp,deq,8,5,800000,0.154350,5183041,0,0,0,0,667,12375,49917
ms-hp,deq,8,6,800000,0.153133,5224231,0,0,0,0,666,12042,54667
ms-hp,deq,8,7,800000,0.158661,5042206,0,0,0,0,709,12625,49584
ms-hp,deq,8,8,800000,0.156577,5109302,0,0,0,0,708,12167,52167
ms-hp,deq,8,9,800000,0.157624,5075364,0,0,0,0,708,12500,49542
