queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,deq,1,0,100000,0.004979,20085024,0,0,0,0,41,42,42
ms,deq,1,1,100000,0.004945,20222107,0,0,0,0,41,42,42
ms,deq,1,2,100000,0.004983,20069742,0,0,0,0,41,42,84
ms,deq,1,3,100000,0.004988,20049285,0,0,0,0,41,42,84
ms,deq,1,4,100000,0.004961,20155366,0,0,0,0,41,42,42
ms,deq,1,5,100000,0.004981,20077128,0,0,0,0,41,42,83
ms,deq,1,6,100000,0.004962,20152486,0,0,0,0,41,42,42
ms,deq,1,7,100000,0.004976,20097808,0,0,0,0,41,42,42
ms,deq,1,8,100000,0.004981,20075113,0,0,0,0,41,42,83
ms,deq,1,9,100000,0.004969,20126629,0,0,0,0,41,42,42
ms,deq,2,0,200000,0.014647,13654596,0,0,0,0,125,167,167
ms,deq,2,1,200000,0.014632,13668359,0,0,0,0,125,167,167
ms,deq,2,2,200000,0.014640,13661046,0,0,0,0,125,167,208
ms,deq,2,3,200000,0.015095,13249164,0,0,0,0,125,167,208
ms,deq,2,4,200000,0.015108,13238275,0,0,0,0,125,167,208
ms,deq,2,5,200000,0.014969,13360537,0,0,0,0,125,209,250
ms,deq,2,6,200000,0.014099,14185906,0,0,0,0,125,167,208
ms,deq,2,7,200000,0.013693,14605870,0,0,0,0,125,125,167
ms,deq,2,8,200000,0.013697,14601248,0,0,0,0,125,125,167
ms,deq,2,9,200000,0.013714,14583416,0,0,0,0,125,125,167
ms,deq,4,0,400000,0.053473,7480446,0,0,0,0,375,4000,21250
ms,deq,4,1,400000,0.052916,7559180,0,0,0,0,375,2750,6541
ms,deq,4,2,400000,0.052847,7568978,0,0,0,0,375,4042,13917
ms,deq,4,3,400000,0.054866,7290434,0,0,0,0,375,4250,17750
ms,deq,4,4,400000,0.054096,7394217,0,0,0,0,375,4709,17750
ms,deq,4,5,400000,0.054870,7290019,0,0,0,0,375,4250,13875
ms,deq,4,6,400000,0.053949,7414376,0,0,0,0,375,4125,12458
ms,deq,4,7,400000,0.055177,7249403,0,0,0,0,375,4334,14625
ms,deq,4,8,400000,0.056319,7102409,0,0,0,0,375,2666,8875
ms,deq,4,9,400000,0.054573,7329593,0,0,0,0,375,2500,10459
ms,deq,8,0,800000,0.154914,5164157,0,0,0,0,458,9291,56833
ms,deq,8,1,800000,0.197431,4052051,0,0,0,0,584,15875,67958
ms,deq,8,2,800000,0.201051,3979087,0,0,0,0,666,15250,62833
ms,deq,8,3,800000,0.198136,4037640,0,0,0,0,625,15125,63541
ms,deq,8,4,800000,0.197528,4050061,0,0,0,0,459,11792,146875
ms,deq,8,5,800000,0.202088,3958667,0,0,0,0,500,11041,156750
ms,deq,8,6,800000,0.189663,4218003,0,0,0,0,459,10375,154667
ms,deq,8,7,800000,0.197727,4045979,0,0,0,0,500,11500,163792
ms,deq,8,8,800000,0.198423,4031791,0,0,0,0,459,12375,149375
ms,deq,8,9,800000,0.199097,4018137,0,0,0,0,459,12042,142833
