queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,deq,1,0,100000,0.009787,10217678,0,0,0,0,42,84,250
mutex,deq,1,1,100000,0.009280,10775862,0,0,0,0,42,84,250
mutex,deq,1,2,100000,0.009478,10551120,0,0,0,0,42,84,417
mutex,deq,1,3,100000,0.009753,10253211,0,0,0,0,42,84,292
mutex,deq,1,4,100000,0.009522,10502225,0,0,0,0,42,84,458
mutex,deq,1,5,100000,0.009172,10902500,0,0,0,0,42,84,250
mutex,deq,1,6,100000,0.008272,12088671,0,0,0,0,42,84,250
mutex,deq,1,7,100000,0.011620,8605667,0,0,0,0,83,84,417
mutex,deq,1,8,100000,0.010269,9737770,0,0,0,0,42,84,333
mutex,deq,1,9,100000,0.011413,8761746,0,0,0,0,83,84,333
mutex,deq,2,0,200000,0.041644,4802641,0,0,0,0,84,7000,22250
mutex,deq,2,1,200000,0.039227,5098475,0,0,0,0,84,7292,20959
mutex,deq,2,2,200000,0.038645,5175247,0,0,0,0,84,7459,20958
mutex,deq,2,3,200000,0.038831,5150485,0,0,0,0,84,7375,21542
mutex,deq,2,4,200000,0.038971,5131977,0,0,0,0,83,7667,22750
mutex,deq,2,5,200000,0.039370,5080075,0,0,0,0,83,8375,24041
mutex,deq,2,6,200000,0.039436,5071460,0,0,0,0,83,7125,23333
mutex,deq,2,7,200000,0.039952,5006065,0,0,0,0,83,8292,24667
mutex,deq,2,8,200000,0.038566,5185876,0,0,0,0,83,8459,21167
mutex,deq,2,9,200000,0.039042,5122716,0,0,0,0,83,8583,21375
mutex,deq,4,0,400000,0.103053,3881493,0,0,0,0,83,24916,59208
mutex,deq,4,1,400000,0.083253,4804646,0,0,0,0,42,19875,67583
mutex,deq,4,2,400000,0.082836,4828804,0,0,0,0,42,19583,63541
mutex,deq,4,3,400000,0.071877,5565027,0,0,0,0,42,14708,54750
mutex,deq,4,4,400000,0.084088,4756943,0,0,0,0,42,17292,53583
mutex,deq,4,5,400000,0.086648,4616388,0,0,0,0,42,18209,51500
mutex,deq,4,6,400000,0.085523,4677093,0,0,0,0,42,18292,46917
mutex,deq,4,7,400000,0.079279,5045462,0,0,0,0,42,15500,37667
mutex,deq,4,8,400000,0.079998,5000128,0,0,0,0,42,15375,37333
mutex,deq,4,9,400000,0.071724,5576973,0,0,0,0,42,14917,39583
mutex,deq,8,0,800000,0.137057,5836984,0,0,0,0,42,34708,98791
mutex,deq,8,1,800000,0.146259,5469766,0,0,0,0,42,36125,91500
mutex,deq,8,2,800000,0.145611,5494108,0,0,0,0,42,37250,108791
mutex,deq,8,3,800000,0.160815,4974671,0,0,0,0,42,38709,125958
mutex,deq,8,4,800000,0.164024,4877350,0,0,0,0,42,44000,137500
mutex,deq,8,5,800000,0.163771,4884876,0,0,0,0,42,44667,123459
mutex,deq,8,6,800000,0.169460,4720886,0,0,0,0,42,46333,126375
mutex,deq,8,7,800000,0.169619,4716443,0,0,0,0,42,45459,129917
mutex,deq,8,8,800000,0.166807,4795950,0,0,0,0,42,44125,143500
mutex,deq,8,9,800000,0.197611,4048353,0,0,0,0,42,54250,142042
