queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,enq,1,0,100000,0.005272,18967533,0,41,42,125,0,0,0
moodycamel,enq,1,1,100000,0.005267,18985390,0,41,42,125,0,0,0
moodycamel,enq,1,2,100000,0.005242,19077143,0,41,42,125,0,0,0
moodycamel,enq,1,3,100000,0.005253,19038252,0,41,42,125,0,0,0
moodycamel,enq,1,4,100000,0.005270,18976232,0,41,42,125,0,0,0
moodycamel,enq,1,5,100000,0.005255,19029347,0,41,42,125,0,0,0
moodycamel,enq,1,6,100000,0.005058,19769031,0,41,42,125,0,0,0
moodycamel,enq,1,7,100000,0.004903,20396371,0,41,42,125,0,0,0
moodycamel,enq,1,8,100000,0.004908,20374035,0,41,42,125,0,0,0
moodycamel,enq,1,9,100000,0.004929,20286547,0,41,42,125,0,0,0
moodycamel,enq,2,0,200000,0.005394,37075658,0,41,125,250,0,0,0
moodycamel,enq,2,1,200000,0.005182,38598548,0,41,84,167,0,0,0
moodycamel,enq,2,2,200000,0.005164,38732165,0,41,84,166,0,0,0
moodycamel,enq,2,3,200000,0.007206,27756575,0,42,125,167,0,0,0
moodycamel,enq,2,4,200000,0.005900,33896386,0,41,84,125,0,0,0
moodycamel,enq,2,5,200000,0.005855,34160297,0,41,84,166,0,0,0
moodycamel,enq,2,6,200000,0.005909,33848582,0,41,84,166,0,0,0
moodycamel,enq,2,7,200000,0.005945,33641716,0,41,84,125,0,0,0
moodycamel,enq,2,8,200000,0.005971,33494526,0,41,84,125,0,0,0
moodycamel,enq,2,9,200000,0.005833,34286939,0,41,84,125,0,0,0
moodycamel,enq,4,0,400000,0.005987,66808166,0,41,125,167,0,0,0
moodycamel,enq,4,1,400000,0.006054,66067009,0,41,125,250,0,0,0
moodycamel,enq,4,2,400000,0.006700,59701867,0,41,209,292,0,0,0
moodycamel,enq,4,3,400000,0.007389,54135140,0,42,250,375,0,0,0
moodycamel,enq,4,4,400000,0.006027,66371226,0,41,125,209,0,0,0
moodycamel,enq,4,5,400000,0.006001,66651859,0,41,125,208,0,0,0
moodycamel,enq,4,6,400000,0.007441,53756822,0,42,167,292,0,0,0
moodycamel,enq,4,7,400000,0.006022,66418064,0,41,125,209,0,0,0
moodycamel,enq,4,8,400000,0.007992,50048484,0,42,125,209,0,0,0
moodycamel,enq,4,9,400000,0.007774,51451353,0,42,125,167,0,0,0
moodycamel,enq,8,0,800000,0.014380,55632498,0,42,292,583,0,0,0
moodycamel,enq,8,1,800000,0.013890,57596603,0,42,250,500,0,0,0
moodycamel,enq,8,2,800000,0.015611,51245782,0,42,292,458,0,0,0
moodycamel,enq,8,3,800000,0.016120,49628176,0,42,291,541,0,0,0
moodycamel,enq,8,4,800000,0.013058,61266298,0,42,250,458,0,0,0
moodycamel,enq,8,5,800000,0.014580,54870467,0,42,292,541,0,0,0
moodycamel,enq,8,6,800000,0.015114,52929453,0,42,250,542,0,0,0
moodycamel,enq,8,7,800000,0.015542,51472185,0,42,292,500,0,0,0
moodycamel,enq,8,8,800000,0.016254,49218527,0,42,291,458,0,0,0
moodycamel,enq,8,9,800000,0.016467,48581644,0,83,292,500,0,0,0
