queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,enq,1,0,100000,0.007738,12923932,0,42,84,125,0,0,0
ms,enq,1,1,100000,0.007729,12938284,0,42,84,125,0,0,0
ms,enq,1,2,100000,0.007751,12901631,0,42,84,125,0,0,0
ms,enq,1,3,100000,0.007740,12919758,0,42,84,125,0,0,0
ms,enq,1,4,100000,0.007768,12874155,0,42,84,125,0,0,0
ms,enq,1,5,100000,0.007684,13013774,0,42,84,125,0,0,0
ms,enq,1,6,100000,0.007764,12879821,0,42,84,166,0,0,0
ms,enq,1,7,100000,0.007752,12899481,0,42,84,166,0,0,0
ms,enq,1,8,100000,0.007822,12785134,0,42,84,208,0,0,0
ms,enq,1,9,100000,0.007770,12869736,0,42,84,167,0,0,0
ms,enq,2,0,200000,0.024492,8165904,0,167,500,791,0,0,0
ms,enq,2,1,200000,0.024536,8151454,0,167,500,750,0,0,0
ms,enq,2,2,200000,0.024161,8277660,0,167,500,708,0,0,0
ms,enq,2,3,200000,0.024601,8129696,0,167,500,750,0,0,0
ms,enq,2,4,200000,0.025372,7882705,0,167,542,791,0,0,0
ms,enq,2,5,200000,0.024763,8076552,0,167,500,792,0,0,0
ms,enq,2,6,200000,0.024670,8106876,0,167,500,792,0,0,0
ms,enq,2,7,200000,0.024137,8286191,0,167,500,667,0,0,0
ms,enq,2,8,200000,0.024194,8266598,0,167,500,708,0,0,0
ms,enq,2,9,200000,0.024222,8256814,0,167,500,625,0,0,0
ms,enq,4,0,400000,0.069807,5730074,0,167,4958,9792,0,0,0
ms,enq,4,1,400000,0.061463,6507980,0,125,4292,7750,0,0,0
ms,enq,4,2,400000,0.057664,6936782,0,125,3917,6708,0,0,0
ms,enq,4,3,400000,0.059267,6749166,0,125,4084,7250,0,0,0
ms,enq,4,4,400000,0.059510,6721550,0,125,4125,7250,0,0,0
ms,enq,4,5,400000,0.060704,6589320,0,125,4208,7750,0,0,0
ms,enq,4,6,400000,0.060753,6584010,0,125,4250,8042,0,0,0
ms,enq,4,7,400000,0.061153,6540953,0,125,4291,8417,0,0,0
ms,enq,4,8,400000,0.051121,7824573,0,125,3416,5708,0,0,0
ms,enq,4,9,400000,0.052354,7640319,0,125,3417,5833,0,0,0
ms,enq,8,0,800000,0.216872,3688815,0,958,13375,69417,0,0,0
ms,enq,8,1,800000,0.213902,3740033,0,958,13125,83750,0,0,0
ms,enq,8,2,800000,0.219962,3636996,0,958,12875,85541,0,0,0
ms,enq,8,3,800000,0.217993,3669848,0,958,13125,89792,0,0,0
ms,enq,8,4,800000,0.218047,3668934,0,958,13084,89750,0,0,0
ms,enq,8,5,800000,0.216234,3699688,0,958,12667,86542,0,0,0
ms,enq,8,6,800000,0.217394,3679949,0,958,13083,94667,0,0,0
ms,enq,8,7,800000,0.216937,3687699,0,958,13042,76167,0,0,0
ms,enq,8,8,800000,0.217522,3677790,0,958,13083,72625,0,0,0
ms,enq,8,9,800000,0.213286,3750824,0,958,12875,80084,0,0,0
