queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,enq,1,0,100000,0.011527,8675472,0,83,84,292,0,0,0
mutex,enq,1,1,100000,0.011641,8590204,0,83,84,291,0,0,0
mutex,enq,1,2,100000,0.011700,8547343,0,83,84,334,0,0,0
mutex,enq,1,3,100000,0.011583,8633062,0,83,84,334,0,0,0
mutex,enq,1,4,100000,0.011534,8669706,0,83,84,292,0,0,0
mutex,enq,1,5,100000,0.011523,8678233,0,83,84,250,0,0,0
mutex,enq,1,6,100000,0.011537,8667639,0,83,84,250,0,0,0
mutex,enq,1,7,100000,0.011077,9027409,0,83,84,250,0,0,0
mutex,enq,1,8,100000,0.009434,10600426,0,42,84,250,0,0,0
mutex,enq,1,9,100000,0.009457,10573759,0,42,84,209,0,0,0
mutex,enq,2,0,200000,0.032996,6061310,0,42,8250,17208,0,0,0
mutex,enq,2,1,200000,0.032610,6133065,0,42,8292,17459,0,0,0
mutex,enq,2,2,200000,0.032504,6153128,0,42,8166,17500,0,0,0
mutex,enq,2,3,200000,0.032948,6070163,0,42,8084,16959,0,0,0
mutex,enq,2,4,200000,0.032998,6061042,0,42,8334,19583,0,0,0
mutex,enq,2,5,200000,0.032420,6169071,0,42,8250,17292,0,0,0
mutex,enq,2,6,200000,0.032607,6133699,0,42,8167,17459,0,0,0
mutex,enq,2,7,200000,0.027813,7190893,0,42,6917,16041,0,0,0
mutex,enq,2,8,200000,0.026820,7457203,0,42,6875,18042,0,0,0
mutex,enq,2,9,200000,0.027241,7341863,0,42,6917,17583,0,0,0
mutex,enq,4,0,400000,0.090134,4437816,0,42,18708,47209,0,0,0
mutex,enq,4,1,400000,0.093440,4280845,0,42,19583,46458,0,0,0
mutex,enq,4,2,400000,0.092609,4319254,0,42,19750,48000,0,0,0
mutex,enq,4,3,400000,0.096181,4158840,0,42,18291,40416,0,0,0
mutex,enq,4,4,400000,0.093479,4279047,0,42,17667,39958,0,0,0
mutex,enq,4,5,400000,0.104799,3816815,0,83,20958,46417,0,0,0
mutex,enq,4,6,400000,0.112392,3558970,0,83,25125,58083,0,0,0
mutex,enq,4,7,400000,0.107455,3722475,0,83,24708,56875,0,0,0
mutex,enq,4,8,400000,0.116921,3421119,0,83,23250,50208,0,0,0
mutex,enq,4,9,400000,0.112945,3541535,0,83,25833,57125,0,0,0
mutex,enq,8,0,800000,0.131023,6105806,0,42,21000,104375,0,0,0
mutex,enq,8,1,800000,0.160193,4993989,0,42,38209,113458,0,0,0
mutex,enq,8,2,800000,0.170181,4700884,0,42,42708,122542,0,0,0
mutex,enq,8,3,800000,0.169506,4719603,0,42,41458,124542,0,0,0
mutex,enq,8,4,800000,0.163302,4898910,0,42,43083,138792,0,0,0
mutex,enq,8,5,800000,0.145947,5481437,0,42,38458,143416,0,0,0
mutex,enq,8,6,800000,0.136060,5879770,0,42,31208,117792,0,0,0
mutex,enq,8,7,800000,0.151689,5273940,0,42,36167,134542,0,0,0
mutex,enq,8,8,800000,0.153295,5218712,0,42,38584,127500,0,0,0
mutex,enq,8,9,800000,0.149144,5363933,0,42,34875,129541,0,0,0
