queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,pairs,1,0,200000,0.006316,31665195,0,41,42,84,41,42,125
moodycamel,pairs,1,1,200000,0.006060,33005343,0,41,42,83,41,42,125
moodycamel,pairs,1,2,200000,0.005916,33806626,0,41,42,83,41,42,125
moodycamel,pairs,1,3,200000,0.006020,33220522,0,41,42,125,41,42,84
moodycamel,pairs,1,4,200000,0.006081,32890680,0,41,42,83,41,42,125
moodycamel,pairs,1,5,200000,0.005995,33359048,0,41,42,84,41,42,84
moodycamel,pairs,1,6,200000,0.005972,33487751,0,41,42,83,41,42,125
moodycamel,pairs,1,7,200000,0.006113,32719836,0,41,42,84,41,42,125
moodycamel,pairs,1,8,200000,0.005809,34428344,0,0,42,83,41,42,83
moodycamel,pairs,1,9,200000,0.005910,33840948,0,0,42,83,41,42,83
moodycamel,pairs,2,0,400000,0.011366,35191776,0,42,84,167,42,167,209
moodycamel,pairs,2,1,400000,0.012211,32757350,0,42,84,166,42,125,208
moodycamel,pairs,2,2,400000,0.012190,32813222,0,42,84,166,42,166,208
moodycamel,pairs,2,3,400000,0.011108,36009136,0,42,84,167,42,125,167
moodycamel,pairs,2,4,400000,0.011118,35976209,0,42,84,167,42,125,167
moodycamel,pairs,2,5,400000,0.011097,36047133,0,42,84,167,42,125,167
moodycamel,pairs,2,6,400000,0.011182,35770311,0,42,84,167,42,125,208
moodycamel,pairs,2,7,400000,0.011179,35781507,0,42,84,167,42,125,167
moodycamel,pairs,2,8,400000,0.011413,35047369,0,42,84,167,42,166,209
moodycamel,pairs,2,9,400000,0.011328,35310214,0,42,84,167,42,166,208
moodycamel,pairs,4,0,800000,0.024045,33271354,0,42,208,333,125,500,958
moodycamel,pairs,4,1,800000,0.022803,35082655,0,42,125,250,125,458,667
moodycamel,pairs,4,2,800000,0.022882,34962425,0,42,125,250,125,417,625
moodycamel,pairs,4,3,800000,0.023459,34102050,0,42,125,250,125,458,667
moodycamel,pairs,4,4,800000,0.023618,33871932,0,42,125,250,125,417,625
moodycamel,pairs,4,5,800000,0.024877,32158865,0,42,209,375,125,584,1041
moodycamel,pairs,4,6,800000,0.026914,29724399,0,42,250,458,125,667,1167
moodycamel,pairs,4,7,800000,0.025959,30818075,0,42,250,416,125,625,1083
moodycamel,pairs,4,8,800000,0.026105,30645813,0,42,209,375,125,625,1041
moodycamel,pairs,4,9,800000,0.027110,29508998,0,42,250,459,125,667,1166
moodycamel,pairs,8,0,1600000,0.078366,20416931,0,125,459,834,417,1750,3042
moodycamel,pairs,8,1,1600000,0.079274,20183279,0,125,459,833,458,1709,2875
moodycamel,pairs,8,2,1600000,0.079091,20229947,0,125,459,833,458,1791,3000
moodycamel,pairs,8,3,1600000,0.079272,20183618,0,125,459,833,458,1792,3042
moodycamel,pairs,8,4,1600000,0.080367,19908762,0,125,459,834,458,1791,3083
moodycamel,pairs,8,5,1600000,0.079807,20048398,0,125,459,834,458,1792,3000
moodycamel,pairs,8,6,1600000,0.078630,20348468,0,125,459,834,417,1750,3417
moodycamel,pairs,8,7,1600000,0.078411,20405354,0,125,458,834,375,1708,6917
moodycamel,pairs,8,8,1600000,0.076496,20916058,0,125,458,833,375,1709,5417
moodycamel,pairs,8,9,1600000,0.076767,20842278,0,125,458,834,375,1708,4208
moodycamel,pairs,16,0,3200000,0.151550,21115132,0,125,458,792,458,1750,2917
moodycamel,pairs,16,1,3200000,0.147230,21734725,0,125,458,791,417,1708,2625
moodycamel,pairs,16,2,3200000,0.150501,21262376,0,125,458,791,417,1709,2542
moodycamel,pairs,16,3,3200000,0.152169,21029262,0,125,458,791,458,1750,2667
moodycamel,pairs,16,4,3200000,0.149355,21425463,0,125,458,792,417,1708,2625
moodycamel,pairs,16,5,3200000,0.147820,21647920,0,84,417,750,334,1666,2584
moodycamel,pairs,16,6,3200000,0.151470,21126272,0,125,458,792,458,1750,2667
moodycamel,pairs,16,7,3200000,0.153502,20846589,0,125,458,792,458,1750,2708
moodycamel,pairs,16,8,3200000,0.144554,22137024,0,125,417,791,375,1708,2667
moodycamel,pairs,16,9,3200000,0.142364,22477619,0,125,417,791,375,1666,2542
