queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp-unpadded,pairs,1,0,200000,0.007438,26890304,0,41,42,84,41,542,875
ms-hp-unpadded,pairs,1,1,200000,0.007649,26147636,0,41,42,125,41,583,750
ms-hp-unpadded,pairs,1,2,200000,0.007551,26487144,0,41,42,125,41,583,750
ms-hp-unpadded,pairs,1,3,200000,0.007662,26101854,0,41,42,125,41,583,792
ms-hp-unpadded,pairs,1,4,200000,0.007302,27390225,0,41,42,84,41,542,750
ms-hp-unpadded,pairs,1,5,200000,0.007614,26267547,0,41,42,125,41,583,792
ms-hp-unpadded,pairs,1,6,200000,0.007478,26745863,0,41,42,125,41,542,750
ms-hp-unpadded,pairs,1,7,200000,0.007707,25949172,0,41,42,125,41,583,750
ms-hp-unpadded,pairs,1,8,200000,0.007561,26450216,0,41,42,125,41,583,791
ms-hp-unpadded,pairs,1,9,200000,0.007369,27141955,0,41,42,125,41,583,750
ms-hp-unpadded,pairs,2,0,400000,0.021100,18957458,0,84,167,750,83,875,1542
ms-hp-unpadded,pairs,2,1,400000,0.021087,18969182,0,84,167,792,83,916,1750
ms-hp-unpadded,pairs,2,2,400000,0.021216,18853733,0,84,167,834,83,916,1875
ms-hp-unpadded,pairs,2,3,400000,0.021778,18366773,0,84,292,875,83,875,1917
ms-hp-unpadded,pairs,2,4,400000,0.021091,18965361,0,84,167,750,83,875,1541
ms-hp-unpadded,pairs,2,5,400000,0.021577,18538652,0,84,209,834,83,917,1708
ms-hp-unpadded,pairs,2,6,400000,0.021238,18833980,0,84,167,834,83,916,1750
ms-hp-unpadded,pairs,2,7,400000,0.021063,18990835,0,84,167,792,83,875,1750
ms-hp-unpadded,pairs,2,8,400000,0.021384,18705647,0,84,167,792,83,916,1791
ms-hp-unpadded,pairs,2,9,400000,0.020953,19090725,0,84,167,709,83,875,1583
ms-hp-unpadded,pairs,4,0,800000,0.054405,14704666,0,167,1125,6000,167,1458,4291
ms-hp-unpadded,pairs,4,1,800000,0.058050,13781302,0,208,1333,7166,167,1542,5916
ms-hp-unpadded,pairs,4,2,800000,0.057075,14016737,0,167,1250,6250,167,1542,5333
ms-hp-unpadded,pairs,4,3,800000,0.060766,13165275,0,167,1500,7042,167,1666,6000
ms-hp-unpadded,pairs,4,4,800000,0.060999,13114942,0,208,1458,7459,167,1584,6709
ms-hp-unpadded,pairs,4,5,800000,0.076403,10470742,0,167,2000,10042,167,2125,9791
ms-hp-unpadded,pairs,4,6,800000,0.057955,13803823,0,167,1375,6584,167,1541,5542
ms-hp-unpadded,pairs,4,7,800000,0.059277,13496055,0,167,1458,6875,167,1542,6041
ms-hp-unpadded,pairs,4,8,800000,0.054741,14614208,0,208,1125,6042,167,1458,4500
ms-hp-unpadded,pairs,4,9,800000,0.058986,13562483,0,208,1292,6000,167,1542,6083
ms-hp-unpadded,pairs,8,0,1600000,0.180086,8884626,0,333,4625,38375,250,3709,29708
ms-hp-unpadded,pairs,8,1,1600000,0.185822,8610393,0,334,4500,36500,250,3542,24625
ms-hp-unpadded,pairs,8,2,1600000,0.185929,8605451,0,250,4167,37875,208,3208,26917
ms-hp-unpadded,pairs,8,3,1600000,0.205547,7784094,0,458,5208,30084,333,4500,18334
ms-hp-unpadded,pairs,8,4,1600000,0.216353,7395307,0,542,5875,23250,417,4916,16000
ms-hp-unpadded,pairs,8,5,1600000,0.216512,7389896,0,542,6000,33000,375,5083,23959
ms-hp-unpadded,pairs,8,6,1600000,0.192596,8307536,0,416,4709,21667,292,3666,16791
ms-hp-unpadded,pairs,8,7,1600000,0.215267,7432616,0,541,5667,22250,416,4375,15833
ms-hp-unpadded,pairs,8,8,1600000,0.228860,6991161,0,625,6041,22375,458,4792,15042
ms-hp-unpadded,pairs,8,9,1600000,0.219686,7283118,0,583,5958,22959,417,4709,16833
ms-hp-unpadded,pairs,16,0,3200000,0.467999,6837624,0,541,8041,62625,334,7125,40208
ms-hp-unpadded,pairs,16,1,3200000,0.505969,6324499,0,625,9250,61458,458,8250,39666
ms-hp-unpadded,pairs,16,2,3200000,0.525209,6092813,0,666,9125,42625,458,8208,30792
ms-hp-unpadded,pairs,16,3,3200000,0.536922,5959893,0,667,10291,40792,459,9084,33375
ms-hp-unpadded,pairs,16,4,3200000,0.547459,5845186,0,625,10292,51833,458,9125,39625
ms-hp-unpadded,pairs,16,5,3200000,0.452996,7064079,0,166,2708,43167,125,3333,40458
ms-hp-unpadded,pairs,16,6,3200000,0.449283,7122461,0,125,1291,19500,83,2417,21375
ms-hp-unpadded,pairs,16,7,3200000,0.303484,10544212,0,125,1041,6667,84,2417,8417
ms-hp-unpadded,pairs,16,8,3200000,0.315780,10133627,0,125,667,3583,84,2417,5917
ms-hp-unpadded,pairs,16,9,3200000,0.407180,7858924,0,84,334,1500,83,2083,5084
