queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-unpadded,pairs,1,0,200000,0.006338,31554869,0,41,42,792,0,42,83
ms-unpadded,pairs,1,1,200000,0.006337,31561094,0,41,42,250,0,42,83
ms-unpadded,pairs,1,2,200000,0.006169,32421264,0,41,42,209,0,42,42
ms-unpadded,pairs,1,3,200000,0.006157,32485990,0,41,42,625,0,42,83
ms-unpadded,pairs,1,4,200000,0.006305,31720434,0,41,42,708,0,42,83
ms-unpadded,pairs,1,5,200000,0.006131,32619111,0,41,42,667,0,42,42
ms-unpadded,pairs,1,6,200000,0.006172,32405284,0,41,42,292,0,42,42
ms-unpadded,pairs,1,7,200000,0.006068,32960240,0,41,42,208,0,42,42
ms-unpadded,pairs,1,8,200000,0.006534,30607562,0,41,42,750,0,42,42
ms-unpadded,pairs,1,9,200000,0.006434,31085466,0,41,42,667,0,42,83
ms-unpadded,pairs,2,0,400000,0.018828,21245189,0,83,167,1250,83,125,250
ms-unpadded,pairs,2,1,400000,0.019251,20778636,0,83,167,1209,83,167,334
ms-unpadded,pairs,2,2,400000,0.019419,20598824,0,83,292,1291,83,167,375
ms-unpadded,pairs,2,3,400000,0.018827,21246035,0,83,167,1166,83,125,209
ms-unpadded,pairs,2,4,400000,0.019059,20987231,0,83,167,1209,83,125,250
ms-unpadded,pairs,2,5,400000,0.018871,21196170,0,83,167,1125,83,125,208
ms-unpadded,pairs,2,6,400000,0.018524,21593803,0,83,167,1125,83,125,209
ms-unpadded,pairs,2,7,400000,0.018773,21306723,0,83,167,1000,83,125,167
ms-unpadded,pairs,2,8,400000,0.018597,21508701,0,83,167,1167,83,125,250
ms-unpadded,pairs,2,9,400000,0.018909,21153808,0,83,167,1125,83,125,250
ms-unpadded,pairs,4,0,800000,0.058029,13786161,0,208,1375,9458,209,834,1416
ms-unpadded,pairs,4,1,800000,0.060058,13320512,0,209,1625,10792,209,875,1417
ms-unpadded,pairs,4,2,800000,0.060311,13264515,0,209,1625,11167,209,834,1417
ms-unpadded,pairs,4,3,800000,0.059726,13394614,0,208,1667,10959,209,833,1417
ms-unpadded,pairs,4,4,800000,0.058275,13727994,0,208,1375,9959,209,834,1458
ms-unpadded,pairs,4,5,800000,0.059480,13449861,0,208,1667,11000,208,833,1417
ms-unpadded,pairs,4,6,800000,0.059200,13513580,0,208,1583,10458,208,834,1458
ms-unpadded,pairs,4,7,800000,0.056846,14073161,0,208,1208,9708,209,834,1375
ms-unpadded,pairs,4,8,800000,0.059325,13485031,0,208,1500,10500,209,833,1458
ms-unpadded,pairs,4,9,800000,0.060751,13168444,0,209,1708,10666,209,834,1417
ms-unpadded,pairs,8,0,1600000,0.213251,7502909,0,625,4875,24334,458,4209,9916
ms-unpadded,pairs,8,1,1600000,0.213989,7477033,0,625,4833,23416,459,4375,9583
ms-unpadded,pairs,8,2,1600000,0.210375,7605474,0,625,5042,27417,417,4083,10708
ms-unpadded,pairs,8,3,1600000,0.195891,8167827,0,542,4875,26500,334,3834,9333
ms-unpadded,pairs,8,4,1600000,0.162673,9835657,0,333,4417,27542,250,2750,7333
ms-unpadded,pairs,8,5,1600000,0.184715,8661973,0,458,4625,27375,291,3125,7916
ms-unpadded,pairs,8,6,1600000,0.186706,8569611,0,500,4792,27375,292,3500,9667
ms-unpadded,pairs,8,7,1600000,0.212079,7544372,0,625,4792,20958,458,4375,9459
ms-unpadded,pairs,8,8,1600000,0.206838,7735530,0,584,4666,25542,458,4125,9292
ms-unpadded,pairs,8,9,1600000,0.208312,7680800,0,625,4667,24000,458,4083,9542
ms-unpadded,pairs,16,0,3200000,0.415534,7700939,0,625,5042,29250,417,3958,8416
ms-unpadded,pairs,16,1,3200000,0.324862,9850336,0,292,4666,41667,208,2875,8625
ms-unpadded,pairs,16,2,3200000,0.312435,10242122,0,250,4333,35917,167,2542,7416
ms-unpadded,pairs,16,3,3200000,0.379980,8421485,0,500,5208,32834,292,3833,9458
ms-unpadded,pairs,16,4,3200000,0.369761,8654246,0,458,5291,46541,291,3458,9459
ms-unpadded,pairs,16,5,3200000,0.375987,8510933,0,500,5083,33917,292,3750,9750
ms-unpadded,pairs,16,6,3200000,0.365540,8754184,0,417,5416,38792,250,2917,9208
ms-unpadded,pairs,16,7,3200000,0.359956,8889968,0,458,5000,32666,292,3584,10000
ms-unpadded,pairs,16,8,3200000,0.367739,8701813,0,459,5083,33042,292,3375,8291
ms-unpadded,pairs,16,9,3200000,0.393456,8133060,0,542,5250,36042,334,3625,9083
