queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.006233,32088997,0,41,42,708,0,42,42
ms,pairs,1,1,200000,0.006230,32104872,0,41,42,334,0,42,83
ms,pairs,1,2,200000,0.006361,31440362,0,41,42,708,0,42,42
ms,pairs,1,3,200000,0.006147,32537520,0,41,42,667,0,42,42
ms,pairs,1,4,200000,0.006106,32757125,0,41,42,250,0,42,42
ms,pairs,1,5,200000,0.006061,32999216,0,41,42,542,0,42,42
ms,pairs,1,6,200000,0.006305,31722114,0,41,42,750,0,42,42
ms,pairs,1,7,200000,0.006180,32361805,0,41,42,708,0,42,83
ms,pairs,1,8,200000,0.006165,32441421,0,41,42,250,0,42,42
ms,pairs,1,9,200000,0.006027,33184231,0,41,42,167,0,42,42
ms,pairs,2,0,400000,0.018245,21923514,0,83,167,1166,83,125,208
ms,pairs,2,1,400000,0.018222,21952090,0,83,167,1167,83,167,250
ms,pairs,2,2,400000,0.018433,21700408,0,83,167,1166,83,125,334
ms,pairs,2,3,400000,0.018407,21731354,0,83,167,1167,83,125,209
ms,pairs,2,4,400000,0.018119,22076426,0,83,167,1250,83,167,292
ms,pairs,2,5,400000,0.018815,21259633,0,83,250,1208,83,167,375
ms,pairs,2,6,400000,0.018261,21904255,0,83,167,1167,83,167,292
ms,pairs,2,7,400000,0.018092,22109728,0,83,166,1166,83,125,291
ms,pairs,2,8,400000,0.018289,21870671,0,83,167,1125,83,125,250
ms,pairs,2,9,400000,0.018301,21857226,0,83,167,1209,83,125,208
ms,pairs,4,0,800000,0.040559,19724494,0,166,1083,10125,125,500,834
ms,pairs,4,1,800000,0.039802,20099640,0,166,1000,10625,125,459,833
ms,pairs,4,2,800000,0.040276,19862863,0,166,1000,11375,125,500,834
ms,pairs,4,3,800000,0.041318,19361923,0,166,1167,11000,125,500,834
ms,pairs,4,4,800000,0.040917,19551975,0,166,1084,10458,125,500,875
ms,pairs,4,5,800000,0.040512,19747053,0,166,1208,7916,125,500,875
ms,pairs,4,6,800000,0.040792,19611588,0,166,1125,9625,125,500,875
ms,pairs,4,7,800000,0.041505,19274786,0,166,1167,10833,125,459,875
ms,pairs,4,8,800000,0.042181,18965773,0,166,1208,12542,125,459,875
ms,pairs,4,9,800000,0.038238,20921528,0,125,916,6417,125,500,834
ms,pairs,8,0,1600000,0.152623,10483345,0,500,10500,36959,166,709,1958
ms,pairs,8,1,1600000,0.156956,10193926,0,500,10833,38250,166,791,2417
ms,pairs,8,2,1600000,0.154915,10328256,0,500,10208,36375,167,1000,4291
ms,pairs,8,3,1600000,0.144900,11042079,0,417,9625,38958,166,709,2541
ms,pairs,8,4,1600000,0.134275,11915852,0,333,7375,38500,125,542,1459
ms,pairs,8,5,1600000,0.154350,10366043,0,375,9125,39375,125,625,1667
ms,pairs,8,6,1600000,0.154428,10360841,0,375,9292,40708,125,667,2875
ms,pairs,8,7,1600000,0.154824,10334348,0,417,8875,37084,166,750,3125
ms,pairs,8,8,1600000,0.159511,10030672,0,459,10417,40750,167,875,3583
ms,pairs,8,9,1600000,0.155072,10317757,0,458,8583,36750,166,917,4500
ms,pairs,16,0,3200000,0.283473,11288548,0,375,8042,50834,125,542,4042
ms,pairs,16,1,3200000,0.283709,11279156,0,375,8166,59958,125,459,3084
ms,pairs,16,2,3200000,0.300495,10649081,0,458,8875,51917,125,542,1875
ms,pairs,16,3,3200000,0.281282,11376470,0,375,8333,47834,125,542,1791
ms,pairs,16,4,3200000,0.281824,11354606,0,333,7583,87750,125,500,4208
ms,pairs,16,5,3200000,0.306709,10433354,0,500,9167,69375,125,625,2833
ms,pairs,16,6,3200000,0.300809,10637968,0,500,9375,40583,125,542,1333
ms,pairs,16,7,3200000,0.312141,10251781,0,542,9875,42458,125,625,1875
ms,pairs,16,8,3200000,0.315998,10126656,0,583,10000,41333,125,625,2208
ms,pairs,16,9,3200000,0.289073,11069852,0,417,8208,33333,125,500,1208
