queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,pc_1p3c,4,0,200000,0.015930,12554599,0,125,334,667,375,1417,4125
moodycamel,pc_1p3c,4,1,200000,0.015100,13245436,0,125,333,625,333,1416,3292
moodycamel,pc_1p3c,4,2,200000,0.014939,13387964,0,125,333,584,333,1375,3333
moodycamel,pc_1p3c,4,3,200000,0.014280,14005806,0,125,250,334,333,1334,3000
moodycamel,pc_1p3c,4,4,200000,0.014103,14181422,0,125,250,334,333,1333,2459
moodycamel,pc_1p3c,4,5,200000,0.023199,8621185,0,208,625,875,584,1750,5583
moodycamel,pc_1p3c,4,6,200000,0.014489,13803615,0,125,291,334,333,1417,2500
moodycamel,pc_1p3c,4,7,200000,0.014313,13973148,0,125,250,334,333,1334,2167
moodycamel,pc_1p3c,4,8,200000,0.015339,13038660,0,125,375,583,333,1542,3375
moodycamel,pc_1p3c,4,9,200000,0.012877,15531518,0,84,250,375,333,833,1375
moodycamel,pc_2p6c,8,0,400000,0.032014,12494582,0,209,708,958,792,2792,9375
moodycamel,pc_2p6c,8,1,400000,0.028988,13798893,0,167,666,1083,708,1833,2625
moodycamel,pc_2p6c,8,2,400000,0.032111,12456920,0,125,708,1000,667,3875,11458
moodycamel,pc_2p6c,8,3,400000,0.029223,13687634,0,166,666,1000,708,1875,2542
moodycamel,pc_2p6c,8,4,400000,0.027947,14312700,0,125,667,1083,666,1667,6000
moodycamel,pc_2p6c,8,5,400000,0.027488,14551584,0,125,625,958,667,1667,6166
moodycamel,pc_2p6c,8,6,400000,0.028886,13847379,0,125,584,916,667,1958,7459
moodycamel,pc_2p6c,8,7,400000,0.028974,13805322,0,125,666,1000,667,1792,6750
moodycamel,pc_2p6c,8,8,400000,0.030577,13081621,0,166,625,1042,667,2166,7083
moodycamel,pc_2p6c,8,9,400000,0.029217,13690679,0,166,625,1000,708,1834,2542
moodycamel,pc_4p12c,16,0,800000,0.079195,10101696,0,166,667,1125,709,4500,15125
moodycamel,pc_4p12c,16,1,800000,0.077882,10272010,0,125,667,1166,709,2500,12625
moodycamel,pc_4p12c,16,2,800000,0.074004,10810287,0,166,667,1041,750,3792,13583
moodycamel,pc_4p12c,16,3,800000,0.070450,11355639,0,125,667,1084,750,2583,9958
moodycamel,pc_4p12c,16,4,800000,0.078425,10200823,0,125,667,1166,792,5625,17541
moodycamel,pc_4p12c,16,5,800000,0.087827,9108834,0,166,667,1084,792,5167,16875
moodycamel,pc_4p12c,16,6,800000,0.060098,13311526,0,125,542,875,750,1792,8458
moodycamel,pc_4p12c,16,7,800000,0.082453,9702517,0,166,667,1042,792,4625,15875
moodycamel,pc_4p12c,16,8,800000,0.057045,14024006,0,125,583,958,750,1667,6667
moodycamel,pc_4p12c,16,9,800000,0.068235,11724203,0,125,625,1083,709,2500,9709
