queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,pc_3p1c,4,0,600000,0.053992,11112775,0,166,1875,3667,42,1167,2208
ms-hp,pc_3p1c,4,1,600000,0.054845,10939930,0,166,2000,5167,42,1208,2167
ms-hp,pc_3p1c,4,2,600000,0.046921,12787372,0,291,1458,3625,125,1375,2000
ms-hp,pc_3p1c,4,3,600000,0.048961,12254568,0,166,1542,2875,42,1042,2000
ms-hp,pc_3p1c,4,4,600000,0.049385,12149469,0,167,1709,4875,42,1125,2000
ms-hp,pc_3p1c,4,5,600000,0.048160,12458493,0,167,1584,3083,42,1166,1959
ms-hp,pc_3p1c,4,6,600000,0.048089,12476996,0,125,1792,3541,42,1125,1916
ms-hp,pc_3p1c,4,7,600000,0.044845,13379555,0,250,1209,2083,125,1333,1875
ms-hp,pc_3p1c,4,8,600000,0.049745,12061504,0,125,1916,6042,42,1125,2000
ms-hp,pc_3p1c,4,9,600000,0.043898,13667997,0,125,1459,2750,84,1083,1750
ms-hp,pc_6p2c,8,0,1200000,0.146613,8184841,0,541,10417,29792,333,2917,8000
ms-hp,pc_6p2c,8,1,1200000,0.147245,8149662,0,542,9292,29500,333,3000,8708
ms-hp,pc_6p2c,8,2,1200000,0.154423,7770865,0,500,9334,29292,375,2750,9083
ms-hp,pc_6p2c,8,3,1200000,0.155023,7740812,0,542,10125,31500,292,2959,10000
ms-hp,pc_6p2c,8,4,1200000,0.157277,7629865,0,583,10083,29416,375,3291,8959
ms-hp,pc_6p2c,8,5,1200000,0.157843,7602495,0,500,9917,25000,417,2917,7375
ms-hp,pc_6p2c,8,6,1200000,0.152636,7861835,0,500,10417,27375,334,2625,7334
ms-hp,pc_6p2c,8,7,1200000,0.153812,7801736,0,542,10209,34708,334,3125,9458
ms-hp,pc_6p2c,8,8,1200000,0.164307,7303403,0,541,9542,28209,375,2875,9250
ms-hp,pc_6p2c,8,9,1200000,0.156921,7647138,0,542,10292,30542,334,3125,9833
ms-hp,pc_12p4c,16,0,2400000,0.337135,7118803,0,625,11375,31542,458,4042,10125
ms-hp,pc_12p4c,16,1,2400000,0.325010,7384382,0,500,10083,32666,375,3792,11083
ms-hp,pc_12p4c,16,2,2400000,0.324718,7391018,0,500,10167,34708,375,3875,12250
ms-hp,pc_12p4c,16,3,2400000,0.331024,7250220,0,584,11750,38083,417,4042,10417
ms-hp,pc_12p4c,16,4,2400000,0.326785,7344284,0,583,11166,31625,458,4000,10458
ms-hp,pc_12p4c,16,5,2400000,0.329430,7285313,0,584,11708,31541,417,4042,10125
ms-hp,pc_12p4c,16,6,2400000,0.327858,7320244,0,583,10833,32000,458,4041,10792
ms-hp,pc_12p4c,16,7,2400000,0.325651,7369844,0,583,11542,34458,458,3792,10084
ms-hp,pc_12p4c,16,8,2400000,0.321476,7465571,0,583,11167,31041,417,3834,10625
ms-hp,pc_12p4c,16,9,2400000,0.296362,8098212,0,500,10834,31167,375,3792,10750
