queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pc_3p1c,4,0,600000,0.060601,9900759,0,208,3542,6209,125,417,584
ms,pc_3p1c,4,1,600000,0.058840,10197109,0,208,3542,7333,125,417,625
ms,pc_3p1c,4,2,600000,0.056799,10563574,0,167,3250,5625,125,334,459
ms,pc_3p1c,4,3,600000,0.059027,10164804,0,167,3625,7209,125,417,625
ms,pc_3p1c,4,4,600000,0.059211,10133266,0,167,3583,7208,166,416,625
ms,pc_3p1c,4,5,600000,0.058678,10225377,0,167,3542,7333,125,375,584
ms,pc_3p1c,4,6,600000,0.053669,11179629,0,167,3250,6459,125,375,583
ms,pc_3p1c,4,7,600000,0.051565,11635724,0,167,3209,6292,125,416,584
ms,pc_3p1c,4,8,600000,0.054935,10921916,0,167,3417,8208,125,459,666
ms,pc_3p1c,4,9,600000,0.061555,9747446,0,208,4000,10750,166,500,667
ms,pc_6p2c,8,0,1200000,0.175204,6849146,0,500,15833,48333,375,1875,8291
ms,pc_6p2c,8,1,1200000,0.185730,6460987,0,542,20333,64542,375,2042,7625
ms,pc_6p2c,8,2,1200000,0.190258,6307219,0,583,19208,61667,417,2333,10500
ms,pc_6p2c,8,3,1200000,0.196669,6101615,0,625,21708,62958,417,2542,5958
ms,pc_6p2c,8,4,1200000,0.187896,6386517,0,583,20125,58583,458,2375,4833
ms,pc_6p2c,8,5,1200000,0.195391,6141542,0,584,24333,70791,417,2417,5625
ms,pc_6p2c,8,6,1200000,0.193629,6197417,0,542,23291,68250,458,2375,5333
ms,pc_6p2c,8,7,1200000,0.193955,6187002,0,542,25375,73875,417,2625,6500
ms,pc_6p2c,8,8,1200000,0.194301,6175978,0,583,22708,64625,458,2250,5083
ms,pc_6p2c,8,9,1200000,0.187927,6385453,0,542,22750,63708,417,2208,5084
ms,pc_12p4c,16,0,2400000,0.383649,6255716,0,542,23625,75416,375,3333,9875
ms,pc_12p4c,16,1,2400000,0.363704,6598780,0,542,20833,67209,375,3208,8541
ms,pc_12p4c,16,2,2400000,0.358038,6703198,0,500,19417,64208,375,3083,10292
ms,pc_12p4c,16,3,2400000,0.357554,6712267,0,542,20458,60375,416,2958,7666
ms,pc_12p4c,16,4,2400000,0.360268,6661707,0,500,20875,63625,416,3042,8250
ms,pc_12p4c,16,5,2400000,0.357820,6707287,0,500,19750,57333,417,3084,9000
ms,pc_12p4c,16,6,2400000,0.356694,6728452,0,541,18333,57625,417,3625,9083
ms,pc_12p4c,16,7,2400000,0.334690,7170817,0,500,15042,42583,416,2667,6209
ms,pc_12p4c,16,8,2400000,0.332322,7221909,0,541,16167,44334,375,2584,6292
ms,pc_12p4c,16,9,2400000,0.337286,7115627,0,500,16667,44917,375,2583,6667
