queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,pc_3p1c,4,0,600000,0.085860,6988107,0,42,13708,33125,42,7875,23042
mutex,pc_3p1c,4,1,600000,0.074282,8077381,0,42,11667,34417,42,3083,21125
mutex,pc_3p1c,4,2,600000,0.066905,8967934,0,42,10709,34292,42,2167,20459
mutex,pc_3p1c,4,3,600000,0.089680,6690430,0,42,13459,31583,42,8042,22083
mutex,pc_3p1c,4,4,600000,0.086687,6921466,0,42,12667,35500,42,7084,22333
mutex,pc_3p1c,4,5,600000,0.074693,8032863,0,42,12042,42834,42,2875,23792
mutex,pc_3p1c,4,6,600000,0.074804,8020975,0,42,10625,37375,42,1625,20833
mutex,pc_3p1c,4,7,600000,0.074410,8063405,0,42,11667,40416,42,2459,23958
mutex,pc_3p1c,4,8,600000,0.086880,6906097,0,42,13500,36375,42,7583,23250
mutex,pc_3p1c,4,9,600000,0.092865,6460995,0,42,14625,36875,42,8625,25000
mutex,pc_6p2c,8,0,1200000,0.184455,6505661,0,42,28917,92625,42,17334,55625
mutex,pc_6p2c,8,1,1200000,0.198756,6037554,0,42,33291,89167,42,18750,58666
mutex,pc_6p2c,8,2,1200000,0.198278,6052095,0,42,34542,87875,42,18916,59375
mutex,pc_6p2c,8,3,1200000,0.191258,6274260,0,42,31542,95041,42,17583,58417
mutex,pc_6p2c,8,4,1200000,0.188064,6380809,0,42,32416,87083,42,18291,54959
mutex,pc_6p2c,8,5,1200000,0.201700,5949445,0,42,35458,92667,42,19083,61208
mutex,pc_6p2c,8,6,1200000,0.188226,6375299,0,42,27208,84584,42,16792,55458
mutex,pc_6p2c,8,7,1200000,0.212901,5636414,0,42,23792,109750,42,8000,55083
mutex,pc_6p2c,8,8,1200000,0.193724,6194389,0,42,26666,85042,42,16083,53333
mutex,pc_6p2c,8,9,1200000,0.170522,7037222,0,42,22334,76000,42,13584,46917
mutex,pc_12p4c,16,0,2400000,0.461949,5195382,0,42,58666,186542,42,35875,123583
mutex,pc_12p4c,16,1,2400000,0.508815,4716846,0,42,78959,299542,42,39084,173917
mutex,pc_12p4c,16,2,2400000,0.566011,4240199,0,42,105416,395917,42,41416,231375
mutex,pc_12p4c,16,3,2400000,0.584377,4106936,0,42,102417,390125,42,40250,236958
mutex,pc_12p4c,16,4,2400000,0.568435,4222120,0,42,95666,430333,42,36500,234375
mutex,pc_12p4c,16,5,2400000,0.496134,4837407,0,42,16959,428875,83,26166,185875
mutex,pc_12p4c,16,6,2400000,0.509833,4707425,0,42,28292,470333,83,29334,181334
mutex,pc_12p4c,16,7,2400000,0.502562,4775535,0,42,25708,443584,42,26875,165042
mutex,pc_12p4c,16,8,2400000,0.522221,4595757,0,42,42542,417250,83,27291,198125
mutex,pc_12p4c,16,9,2400000,0.541572,4431542,0,42,29375,298916,83,29667,179542
