queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,pairs,1,0,200000,0.007327,27297698,0,41,83,84,41,83,125
mutex,pairs,1,1,200000,0.007060,28327609,0,41,42,42,41,42,84
mutex,pairs,1,2,200000,0.007097,28179599,0,41,42,83,41,42,125
mutex,pairs,1,3,200000,0.007059,28332625,0,41,42,125,41,42,125
mutex,pairs,1,4,200000,0.007164,27918339,0,41,42,125,41,42,125
mutex,pairs,1,5,200000,0.007028,28458611,0,41,42,84,41,42,125
mutex,pairs,1,6,200000,0.007097,28179103,0,41,42,125,41,42,125
mutex,pairs,1,7,200000,0.007101,28163231,0,41,42,84,41,42,125
mutex,pairs,1,8,200000,0.006977,28664243,0,41,42,125,41,42,125
mutex,pairs,1,9,200000,0.007005,28552054,0,41,42,84,41,42,125
mutex,pairs,2,0,400000,0.027483,14554562,0,42,1416,18416,42,1000,14125
mutex,pairs,2,1,400000,0.027356,14622132,0,42,1166,18500,42,792,14458
mutex,pairs,2,2,400000,0.025286,15819343,0,41,1541,13958,41,1667,12208
mutex,pairs,2,3,400000,0.024305,16457294,0,41,2250,11125,41,2667,11166
mutex,pairs,2,4,400000,0.024659,16221559,0,41,2459,11583,41,2667,11334
mutex,pairs,2,5,400000,0.023304,17164527,0,41,2333,10083,41,2666,10333
mutex,pairs,2,6,400000,0.024205,16525539,0,41,2083,11709,41,2625,11000
mutex,pairs,2,7,400000,0.024944,16036135,0,41,1750,12500,41,1708,12166
mutex,pairs,2,8,400000,0.024268,16482781,0,41,2291,11000,41,2625,11000
mutex,pairs,2,9,400000,0.024093,16602103,0,41,2083,11000,41,2583,10833
mutex,pairs,4,0,800000,0.086810,9215510,0,42,11334,41958,42,10583,39250
mutex,pairs,4,1,800000,0.084922,9420437,0,42,11084,38417,42,10416,37000
mutex,pairs,4,2,800000,0.084634,9452480,0,42,10000,34583,42,10209,34167
mutex,pairs,4,3,800000,0.085094,9401354,0,42,10208,33584,42,10250,33292
mutex,pairs,4,4,800000,0.083574,9572322,0,42,10459,37792,42,10375,38584
mutex,pairs,4,5,800000,0.082002,9755904,0,41,10334,39250,42,10334,37583
mutex,pairs,4,6,800000,0.081875,9771042,0,41,11458,43625,42,10625,40583
mutex,pairs,4,7,800000,0.075655,10574259,0,41,8459,46209,41,7916,43167
mutex,pairs,4,8,800000,0.077954,10262413,0,41,9833,51667,42,7959,46875
mutex,pairs,4,9,800000,0.084628,9453187,0,41,10667,46917,42,9125,44375
mutex,pairs,8,0,1600000,0.164820,9707587,0,42,23375,100083,42,21125,98000
mutex,pairs,8,1,1600000,0.158097,10120393,0,41,15208,100583,41,14334,103792
mutex,pairs,8,2,1600000,0.193447,8270999,0,42,26000,96833,42,23125,89333
mutex,pairs,8,3,1600000,0.194066,8244598,0,42,25291,91666,42,21750,86167
mutex,pairs,8,4,1600000,0.184969,8650114,0,42,21917,102584,42,18291,95333
mutex,pairs,8,5,1600000,0.168690,9484861,0,42,22542,95625,42,21250,89125
mutex,pairs,8,6,1600000,0.189494,8443530,0,42,26834,93000,42,24042,86250
mutex,pairs,8,7,1600000,0.167631,9544762,0,42,20833,87583,42,19667,88833
mutex,pairs,8,8,1600000,0.192238,8323038,0,42,26541,99625,42,23834,91667
mutex,pairs,8,9,1600000,0.187724,8523145,0,42,23625,107084,42,21041,98625
