queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.007671,26073920,0,41,42,250,41,42,42
ms,pairs,1,1,200000,0.006887,29038812,0,41,42,250,41,42,42
ms,pairs,1,2,200000,0.006354,31477474,0,41,42,167,41,42,42
ms,pairs,1,3,200000,0.005805,34452814,0,0,42,209,0,42,42
ms,pairs,1,4,200000,0.005734,34880170,0,0,42,208,0,42,83
ms,pairs,1,5,200000,0.005709,35029846,0,0,42,291,0,42,83
ms,pairs,1,6,200000,0.005691,35145265,0,0,42,208,0,42,42
ms,pairs,1,7,200000,0.005947,33630639,0,0,42,334,0,42,125
ms,pairs,1,8,200000,0.005877,34028316,0,0,42,667,0,42,42
ms,pairs,1,9,200000,0.005786,34565448,0,0,42,458,0,42,42
ms,pairs,2,0,400000,0.018730,21356494,0,84,167,1208,83,125,167
ms,pairs,2,1,400000,0.018615,21488240,0,84,167,1083,83,125,167
ms,pairs,2,2,400000,0.018678,21415856,0,84,167,1208,83,125,167
ms,pairs,2,3,400000,0.018636,21463833,0,84,167,1208,83,125,167
ms,pairs,2,4,400000,0.018789,21289429,0,84,167,1125,83,125,208
ms,pairs,2,5,400000,0.019392,20627550,0,84,209,1417,83,166,375
ms,pairs,2,6,400000,0.019314,20710232,0,84,208,1500,83,125,334
ms,pairs,2,7,400000,0.019458,20557494,0,84,167,1583,83,125,333
ms,pairs,2,8,400000,0.019271,20756577,0,84,167,1625,83,125,334
ms,pairs,2,9,400000,0.019087,20957038,0,84,208,1708,83,125,375
ms,pairs,4,0,800000,0.037337,21426635,0,166,833,7792,125,542,1042
ms,pairs,4,1,800000,0.045236,17685095,0,167,1709,11833,125,542,1000
ms,pairs,4,2,800000,0.047675,16780312,0,125,1750,10250,84,500,1125
ms,pairs,4,3,800000,0.042386,18873971,0,166,1333,11250,125,542,2708
ms,pairs,4,4,800000,0.049155,16274938,0,167,1875,13916,125,542,4875
ms,pairs,4,5,800000,0.046319,17271468,0,167,1708,12541,125,542,4083
ms,pairs,4,6,800000,0.043992,18185004,0,166,1500,11916,125,542,3834
ms,pairs,4,7,800000,0.045648,17525604,0,167,1667,11834,125,542,2083
ms,pairs,4,8,800000,0.048887,16364325,0,167,1791,12541,125,542,1584
ms,pairs,4,9,800000,0.070965,11273209,0,250,3042,16750,125,708,10500
ms,pairs,8,0,1600000,0.147960,10813733,0,417,5042,36042,166,792,5625
ms,pairs,8,1,1600000,0.157466,10160899,0,542,6583,24625,167,958,3041
ms,pairs,8,2,1600000,0.151301,10574941,0,500,6583,31792,167,1250,7417
ms,pairs,8,3,1600000,0.151455,10564229,0,541,6708,17625,167,1583,6792
ms,pairs,8,4,1600000,0.149956,10669808,0,458,5542,27791,167,1083,5209
ms,pairs,8,5,1600000,0.170955,9359197,0,708,7458,17875,209,1917,7375
ms,pairs,8,6,1600000,0.166679,9599290,0,625,7625,36333,208,1917,10375
ms,pairs,8,7,1600000,0.170087,9406941,0,708,7333,18000,208,2000,7583
ms,pairs,8,8,1600000,0.171033,9354899,0,708,7375,19125,209,2166,7708
ms,pairs,8,9,1600000,0.168295,9507097,0,667,7125,15292,208,2750,8458
