queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,pairs,1,0,200000,0.011742,17033114,0,42,83,125,42,875,1291
ms-hp,pairs,1,1,200000,0.010053,19893569,0,42,42,84,42,750,1000
ms-hp,pairs,1,2,200000,0.008589,23286501,0,41,42,84,41,625,875
ms-hp,pairs,1,3,200000,0.007753,25797298,0,41,42,83,41,583,750
ms-hp,pairs,1,4,200000,0.007206,27755774,0,41,42,83,41,542,708
ms-hp,pairs,1,5,200000,0.007156,27947762,0,41,42,84,41,541,667
ms-hp,pairs,1,6,200000,0.006942,28811527,0,41,42,83,41,500,666
ms-hp,pairs,1,7,200000,0.006939,28822422,0,41,42,83,41,500,666
ms-hp,pairs,1,8,200000,0.006893,29013718,0,41,42,83,41,500,666
ms-hp,pairs,1,9,200000,0.007025,28471607,0,41,42,84,41,541,667
ms-hp,pairs,2,0,400000,0.027986,14292925,0,125,167,250,166,917,1209
ms-hp,pairs,2,1,400000,0.028781,13898138,0,125,208,375,166,917,1291
ms-hp,pairs,2,2,400000,0.028636,13968675,0,125,208,333,166,959,1291
ms-hp,pairs,2,3,400000,0.029222,13688278,0,125,209,416,166,917,1292
ms-hp,pairs,2,4,400000,0.029364,13622354,0,125,209,417,166,917,1333
ms-hp,pairs,2,5,400000,0.029058,13765572,0,125,208,333,166,917,1250
ms-hp,pairs,2,6,400000,0.028880,13850575,0,125,208,250,166,917,1250
ms-hp,pairs,2,7,400000,0.029032,13777821,0,125,209,417,166,958,1334
ms-hp,pairs,2,8,400000,0.028998,13794094,0,125,209,500,166,958,1333
ms-hp,pairs,2,9,400000,0.029197,13699881,0,125,209,458,166,917,1375
ms-hp,pairs,4,0,800000,0.052695,15181586,0,208,916,2917,250,1416,2708
ms-hp,pairs,4,1,800000,0.050816,15743112,0,208,709,2208,250,1416,2334
ms-hp,pairs,4,2,800000,0.050314,15900200,0,208,667,2167,250,1417,2250
ms-hp,pairs,4,3,800000,0.052376,15274196,0,208,875,2750,250,1417,2833
ms-hp,pairs,4,4,800000,0.050598,15811045,0,208,708,2125,250,1416,2292
ms-hp,pairs,4,5,800000,0.050218,15930701,0,208,666,2042,250,1416,2292
ms-hp,pairs,4,6,800000,0.051342,15581899,0,208,792,2500,250,1375,2416
ms-hp,pairs,4,7,800000,0.049516,16156408,0,208,583,1750,250,1416,2250
ms-hp,pairs,4,8,800000,0.049496,16162963,0,208,542,1833,250,1375,2208
ms-hp,pairs,4,9,800000,0.050176,15943758,0,208,625,1666,250,1375,2125
ms-hp,pairs,8,0,1600000,0.163363,9794119,0,375,5750,37167,250,2791,9458
ms-hp,pairs,8,1,1600000,0.185774,8612633,0,500,6833,36792,375,3208,9667
ms-hp,pairs,8,2,1600000,0.194052,8245197,0,625,7375,33875,417,3209,9458
ms-hp,pairs,8,3,1600000,0.191862,8339325,0,584,7042,38208,417,3250,9792
ms-hp,pairs,8,4,1600000,0.192644,8305465,0,584,6833,36875,458,3375,10000
ms-hp,pairs,8,5,1600000,0.191716,8345665,0,583,6916,41500,416,3333,9709
ms-hp,pairs,8,6,1600000,0.198384,8065170,0,625,7209,39083,458,3375,10041
ms-hp,pairs,8,7,1600000,0.194375,8231515,0,584,7084,41375,417,3208,9625
ms-hp,pairs,8,8,1600000,0.180405,8868950,0,541,6917,33583,375,3083,9792
ms-hp,pairs,8,9,1600000,0.184912,8652753,0,542,6833,34791,416,3125,9625
