queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.005878,34025422,0,0,42,750,0,42,84
ms,pairs,1,1,200000,0.006022,33212473,0,0,42,791,0,42,83
ms,pairs,1,2,200000,0.005833,34285963,0,0,42,291,0,42,83
ms,pairs,1,3,200000,0.006093,32822759,0,41,42,917,0,42,42
ms,pairs,1,4,200000,0.005721,34961215,0,0,42,125,0,42,42
ms,pairs,1,5,200000,0.005841,34242911,0,0,42,208,0,42,42
ms,pairs,1,6,200000,0.006002,33320838,0,0,42,584,0,42,83
ms,pairs,1,7,200000,0.005864,34107139,0,0,42,666,0,42,42
ms,pairs,1,8,200000,0.005698,35103115,0,0,42,250,0,42,42
ms,pairs,1,9,200000,0.005792,34530882,0,0,42,667,0,42,42
ms,pairs,2,0,400000,0.018765,21315901,0,84,167,1333,83,125,208
ms,pairs,2,1,400000,0.018848,21222317,0,84,209,1167,83,166,375
ms,pairs,2,2,400000,0.018613,21490115,0,84,167,1125,83,125,208
ms,pairs,2,3,400000,0.018477,21648488,0,84,167,1125,83,125,167
ms,pairs,2,4,400000,0.018500,21621232,0,84,167,1166,83,125,167
ms,pairs,2,5,400000,0.018709,21379894,0,84,167,1125,83,125,209
ms,pairs,2,6,400000,0.018774,21305824,0,84,167,1125,83,125,167
ms,pairs,2,7,400000,0.018757,21325088,0,84,167,1084,83,125,167
ms,pairs,2,8,400000,0.018692,21399767,0,84,167,1167,83,125,167
ms,pairs,2,9,400000,0.018875,21192193,0,84,167,1250,83,125,292
ms,pairs,4,0,800000,0.034130,23440018,0,125,458,1750,125,542,917
ms,pairs,4,1,800000,0.034870,22942138,0,125,583,2292,125,542,917
ms,pairs,4,2,800000,0.033368,23975096,0,125,375,1291,125,542,916
ms,pairs,4,3,800000,0.034481,23200903,0,125,500,2167,125,542,917
ms,pairs,4,4,800000,0.033661,23766170,0,125,417,1416,125,542,917
ms,pairs,4,5,800000,0.038012,21045916,0,166,959,8250,125,542,959
ms,pairs,4,6,800000,0.035234,22705583,0,125,625,3708,125,542,917
ms,pairs,4,7,800000,0.036822,21726068,0,166,834,5958,125,542,958
ms,pairs,4,8,800000,0.035160,22753237,0,125,584,3458,125,583,958
ms,pairs,4,9,800000,0.034638,23095716,0,125,500,2375,125,542,917
ms,pairs,8,0,1600000,0.164724,9713203,0,667,7625,20833,208,1292,5250
ms,pairs,8,1,1600000,0.168676,9485646,0,708,7625,19042,208,1459,6000
ms,pairs,8,2,1600000,0.169878,9418498,0,708,7750,21459,208,1583,6291
ms,pairs,8,3,1600000,0.163505,9785653,0,666,7458,20833,208,1333,5208
ms,pairs,8,4,1600000,0.156884,10198623,0,583,7291,21625,167,1250,5250
ms,pairs,8,5,1600000,0.161212,9924845,0,625,7500,21291,208,1083,3458
ms,pairs,8,6,1600000,0.169259,9452985,0,708,7500,19458,208,1458,5666
ms,pairs,8,7,1600000,0.169526,9438087,0,708,7625,19875,208,1417,5875
ms,pairs,8,8,1600000,0.165526,9666179,0,667,7625,21000,208,1292,5292
ms,pairs,8,9,1600000,0.169418,9444074,0,708,7667,20958,208,1458,5834
