queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,deq,1,0,100000,0.007051,14183057,0,0,0,0,42,83,167
moodycamel,deq,1,1,100000,0.007251,13790488,0,0,0,0,42,83,167
moodycamel,deq,1,2,100000,0.007104,14076577,0,0,0,0,42,83,125
moodycamel,deq,1,3,100000,0.007016,14252289,0,0,0,0,42,83,125
moodycamel,deq,1,4,100000,0.007085,14113744,0,0,0,0,42,83,167
moodycamel,deq,1,5,100000,0.007071,14142603,0,0,0,0,42,84,167
moodycamel,deq,1,6,100000,0.007055,14174093,0,0,0,0,42,83,166
moodycamel,deq,1,7,100000,0.006985,14315794,0,0,0,0,42,83,125
moodycamel,deq,1,8,100000,0.007014,14256438,0,0,0,0,42,83,125
moodycamel,deq,1,9,100000,0.006941,14407146,0,0,0,0,42,83,166
moodycamel,deq,2,0,200000,0.025505,7841638,0,0,0,0,209,625,875
moodycamel,deq,2,1,200000,0.026249,7619410,0,0,0,0,209,667,1125
moodycamel,deq,2,2,200000,0.021393,9348835,0,0,0,0,167,500,750
moodycamel,deq,2,3,200000,0.029744,6724064,0,0,0,0,209,792,1375
moodycamel,deq,2,4,200000,0.021828,9162473,0,0,0,0,167,500,750
moodycamel,deq,2,5,200000,0.023587,8479127,0,0,0,0,167,542,792
moodycamel,deq,2,6,200000,0.022725,8800703,0,0,0,0,167,542,1083
moodycamel,deq,2,7,200000,0.021015,9517238,0,0,0,0,167,500,916
moodycamel,deq,2,8,200000,0.020885,9576155,0,0,0,0,167,459,959
moodycamel,deq,2,9,200000,0.022551,8868754,0,0,0,0,167,500,1417
moodycamel,deq,4,0,400000,0.051804,7721387,0,0,0,0,458,1042,11334
moodycamel,deq,4,1,400000,0.053391,7491964,0,0,0,0,458,1083,14625
moodycamel,deq,4,2,400000,0.053860,7426627,0,0,0,0,417,1083,19500
moodycamel,deq,4,3,400000,0.054586,7327836,0,0,0,0,417,1084,18791
moodycamel,deq,4,4,400000,0.054550,7332700,0,0,0,0,458,1125,12417
moodycamel,deq,4,5,400000,0.053529,7472538,0,0,0,0,458,1125,17458
moodycamel,deq,4,6,400000,0.057922,6905824,0,0,0,0,333,1083,22958
moodycamel,deq,4,7,400000,0.057459,6961536,0,0,0,0,458,1125,20208
moodycamel,deq,4,8,400000,0.056850,7036029,0,0,0,0,500,1167,12958
moodycamel,deq,4,9,400000,0.050925,7854663,0,0,0,0,417,1042,12750
moodycamel,deq,8,0,800000,0.110491,7240414,0,0,0,0,625,1875,22250
moodycamel,deq,8,1,800000,0.115978,6897862,0,0,0,0,792,2084,19500
moodycamel,deq,8,2,800000,0.114043,7014895,0,0,0,0,792,2084,20833
moodycamel,deq,8,3,800000,0.117522,6807251,0,0,0,0,542,1791,50792
moodycamel,deq,8,4,800000,0.112184,7131126,0,0,0,0,667,2125,32750
moodycamel,deq,8,5,800000,0.113720,7034846,0,0,0,0,709,2083,27875
moodycamel,deq,8,6,800000,0.115713,6913647,0,0,0,0,750,2125,18709
moodycamel,deq,8,7,800000,0.110679,7228129,0,0,0,0,625,1917,21250
moodycamel,deq,8,8,800000,0.108478,7374736,0,0,0,0,542,1833,45500
moodycamel,deq,8,9,800000,0.112473,7112810,0,0,0,0,583,2000,53250
