queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,deq,1,0,100000,0.009993,10007380,0,0,0,0,42,1125,1708
ms-hp,deq,1,1,100000,0.010587,9445881,0,0,0,0,42,1125,1792
ms-hp,deq,1,2,100000,0.010146,9856060,0,0,0,0,42,1125,1708
ms-hp,deq,1,3,100000,0.009673,10337877,0,0,0,0,42,1125,1625
ms-hp,deq,1,4,100000,0.010129,9872684,0,0,0,0,42,1125,1708
ms-hp,deq,1,5,100000,0.009784,10221074,0,0,0,0,42,1125,1666
ms-hp,deq,1,6,100000,0.009680,10330089,0,0,0,0,42,1125,1625
ms-hp,deq,1,7,100000,0.009694,10315215,0,0,0,0,42,1125,1625
ms-hp,deq,1,8,100000,0.010169,9834050,0,0,0,0,42,1125,1625
ms-hp,deq,1,9,100000,0.010340,9671142,0,0,0,0,42,1125,1833
ms-hp,deq,2,0,200000,0.023711,8435007,0,0,0,0,208,1542,4042
ms-hp,deq,2,1,200000,0.023347,8566518,0,0,0,0,208,1583,4500
ms-hp,deq,2,2,200000,0.023035,8682550,0,0,0,0,208,1542,2792
ms-hp,deq,2,3,200000,0.024084,8304355,0,0,0,0,208,1583,4458
ms-hp,deq,2,4,200000,0.023387,8551592,0,0,0,0,208,1542,5250
ms-hp,deq,2,5,200000,0.020234,9884475,0,0,0,0,167,1375,1959
ms-hp,deq,2,6,200000,0.020330,9837779,0,0,0,0,167,1375,2167
ms-hp,deq,2,7,200000,0.019986,10006796,0,0,0,0,167,1375,1750
ms-hp,deq,2,8,200000,0.020768,9630413,0,0,0,0,167,1375,3500
ms-hp,deq,2,9,200000,0.022279,8977081,0,0,0,0,167,1416,9125
ms-hp,deq,4,0,400000,0.071332,5607578,0,0,0,0,458,4125,20459
ms-hp,deq,4,1,400000,0.068301,5856408,0,0,0,0,375,4083,22709
ms-hp,deq,4,2,400000,0.070746,5654043,0,0,0,0,375,4125,33750
ms-hp,deq,4,3,400000,0.072680,5503546,0,0,0,0,458,4083,25625
ms-hp,deq,4,4,400000,0.069095,5789120,0,0,0,0,458,4000,20083
ms-hp,deq,4,5,400000,0.068528,5837069,0,0,0,0,375,3833,22875
ms-hp,deq,4,6,400000,0.068701,5822346,0,0,0,0,417,4042,20125
ms-hp,deq,4,7,400000,0.061940,6457884,0,0,0,0,334,3875,14584
ms-hp,deq,4,8,400000,0.063425,6306670,0,0,0,0,375,3792,16500
ms-hp,deq,4,9,400000,0.065613,6096330,0,0,0,0,416,3750,18417
ms-hp,deq,8,0,800000,0.150016,5332770,0,0,0,0,541,9000,56292
ms-hp,deq,8,1,800000,0.157582,5076723,0,0,0,0,583,10583,63583
ms-hp,deq,8,2,800000,0.163120,4904374,0,0,0,0,625,10417,64916
ms-hp,deq,8,3,800000,0.153906,5197975,0,0,0,0,583,9208,57709
ms-hp,deq,8,4,800000,0.163528,4892119,0,0,0,0,666,10417,53917
ms-hp,deq,8,5,800000,0.161266,4960754,0,0,0,0,542,9500,64250
ms-hp,deq,8,6,800000,0.158514,5046887,0,0,0,0,625,10625,61959
ms-hp,deq,8,7,800000,0.161116,4965377,0,0,0,0,584,10167,56750
ms-hp,deq,8,8,800000,0.149580,5348326,0,0,0,0,541,9583,66292
ms-hp,deq,8,9,800000,0.165516,4833373,0,0,0,0,625,10333,63708
