queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,deq,1,0,100000,0.005933,16855470,0,0,0,0,42,42,125
ms,deq,1,1,100000,0.006031,16580198,0,0,0,0,42,42,84
ms,deq,1,2,100000,0.006151,16257519,0,0,0,0,42,42,125
ms,deq,1,3,100000,0.005933,16853814,0,0,0,0,42,42,125
ms,deq,1,4,100000,0.005993,16686017,0,0,0,0,42,42,125
ms,deq,1,5,100000,0.005950,16807076,0,0,0,0,42,42,125
ms,deq,1,6,100000,0.005958,16783685,0,0,0,0,42,42,125
ms,deq,1,7,100000,0.006201,16125781,0,0,0,0,42,42,125
ms,deq,1,8,100000,0.006041,16553436,0,0,0,0,42,42,125
ms,deq,1,9,100000,0.005963,16769379,0,0,0,0,42,42,125
ms,deq,2,0,200000,0.018888,10588827,0,0,0,0,125,375,750
ms,deq,2,1,200000,0.018703,10693305,0,0,0,0,125,375,542
ms,deq,2,2,200000,0.017221,11613419,0,0,0,0,125,375,583
ms,deq,2,3,200000,0.016911,11826418,0,0,0,0,125,375,500
ms,deq,2,4,200000,0.017232,11606398,0,0,0,0,125,375,500
ms,deq,2,5,200000,0.017133,11673464,0,0,0,0,125,334,500
ms,deq,2,6,200000,0.016902,11832890,0,0,0,0,125,208,500
ms,deq,2,7,200000,0.016725,11958086,0,0,0,0,125,334,542
ms,deq,2,8,200000,0.015528,12879648,0,0,0,0,125,334,500
ms,deq,2,9,200000,0.015699,12739395,0,0,0,0,125,334,459
ms,deq,4,0,400000,0.061477,6506551,0,0,0,0,417,2958,16041
ms,deq,4,1,400000,0.053947,7414713,0,0,0,0,375,2292,16542
ms,deq,4,2,400000,0.051817,7719406,0,0,0,0,375,2125,14292
ms,deq,4,3,400000,0.061180,6538093,0,0,0,0,417,2958,13750
ms,deq,4,4,400000,0.060687,6591225,0,0,0,0,417,2917,14000
ms,deq,4,5,400000,0.061235,6532243,0,0,0,0,417,2792,14125
ms,deq,4,6,400000,0.060700,6589777,0,0,0,0,417,2792,12875
ms,deq,4,7,400000,0.062176,6433346,0,0,0,0,417,3125,13167
ms,deq,4,8,400000,0.061863,6465870,0,0,0,0,417,2958,13041
ms,deq,4,9,400000,0.059704,6699761,0,0,0,0,417,2750,12500
ms,deq,8,0,800000,0.124826,6408910,0,0,0,0,375,5917,54708
ms,deq,8,1,800000,0.176271,4538467,0,0,0,0,584,12875,58542
ms,deq,8,2,800000,0.179138,4465841,0,0,0,0,584,13250,55791
ms,deq,8,3,800000,0.161586,4950911,0,0,0,0,500,11750,60958
ms,deq,8,4,800000,0.172414,4640001,0,0,0,0,500,12833,62041
ms,deq,8,5,800000,0.148504,5387044,0,0,0,0,458,10750,56667
ms,deq,8,6,800000,0.138293,5784824,0,0,0,0,417,9291,56875
ms,deq,8,7,800000,0.166513,4804444,0,0,0,0,541,12125,58458
ms,deq,8,8,800000,0.179769,4450146,0,0,0,0,625,13916,52416
ms,deq,8,9,800000,0.169249,4726776,0,0,0,0,500,13625,61625
