queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,deq,1,0,100000,0.006444,15518813,0,0,0,0,42,42,166
mutex,deq,1,1,100000,0.006252,15993710,0,0,0,0,42,42,125
mutex,deq,1,2,100000,0.006483,15424560,0,0,0,0,42,42,166
mutex,deq,1,3,100000,0.006473,15447892,0,0,0,0,42,42,167
mutex,deq,1,4,100000,0.006333,15790721,0,0,0,0,42,42,125
mutex,deq,1,5,100000,0.006316,15831763,0,0,0,0,42,42,125
mutex,deq,1,6,100000,0.006111,16363934,0,0,0,0,42,42,125
mutex,deq,1,7,100000,0.005869,17038196,0,0,0,0,42,42,125
mutex,deq,1,8,100000,0.005844,17112786,0,0,0,0,42,42,125
mutex,deq,1,9,100000,0.005774,17318764,0,0,0,0,42,42,125
mutex,deq,2,0,200000,0.019053,10497241,0,0,0,0,42,3792,11208
mutex,deq,2,1,200000,0.019103,10469811,0,0,0,0,42,3708,10959
mutex,deq,2,2,200000,0.019092,10475341,0,0,0,0,42,4875,11541
mutex,deq,2,3,200000,0.019581,10213809,0,0,0,0,42,3959,10834
mutex,deq,2,4,200000,0.019165,10435690,0,0,0,0,42,4041,11583
mutex,deq,2,5,200000,0.019586,10211463,0,0,0,0,42,3959,10792
mutex,deq,2,6,200000,0.019523,10244087,0,0,0,0,42,4125,12583
mutex,deq,2,7,200000,0.019888,10056147,0,0,0,0,42,3792,11291
mutex,deq,2,8,200000,0.019682,10161483,0,0,0,0,42,4334,11917
mutex,deq,2,9,200000,0.019761,10120881,0,0,0,0,42,4333,11917
mutex,deq,4,0,400000,0.063381,6310994,0,0,0,0,42,14125,33416
mutex,deq,4,1,400000,0.067774,5901997,0,0,0,0,42,16166,38500
mutex,deq,4,2,400000,0.062954,6353804,0,0,0,0,42,13750,31583
mutex,deq,4,3,400000,0.067178,5954349,0,0,0,0,42,14666,34292
mutex,deq,4,4,400000,0.067106,5960726,0,0,0,0,42,14625,34084
mutex,deq,4,5,400000,0.070864,5644655,0,0,0,0,42,16250,38375
mutex,deq,4,6,400000,0.070514,5672656,0,0,0,0,42,15625,35292
mutex,deq,4,7,400000,0.068448,5843891,0,0,0,0,42,15333,37416
mutex,deq,4,8,400000,0.068371,5850430,0,0,0,0,42,14792,34458
mutex,deq,4,9,400000,0.072637,5506826,0,0,0,0,42,17167,43292
mutex,deq,8,0,800000,0.156493,5112061,0,0,0,0,42,37750,101791
mutex,deq,8,1,800000,0.160789,4975478,0,0,0,0,42,37833,87542
mutex,deq,8,2,800000,0.164944,4850146,0,0,0,0,42,38625,87667
mutex,deq,8,3,800000,0.165159,4843831,0,0,0,0,42,39291,87625
mutex,deq,8,4,800000,0.165885,4822605,0,0,0,0,42,42666,107708
mutex,deq,8,5,800000,0.162784,4914474,0,0,0,0,42,40458,102750
mutex,deq,8,6,800000,0.165803,4825002,0,0,0,0,42,41833,103500
mutex,deq,8,7,800000,0.161515,4953103,0,0,0,0,42,36750,77583
mutex,deq,8,8,800000,0.158560,5045406,0,0,0,0,42,39041,100750
mutex,deq,8,9,800000,0.164446,4864831,0,0,0,0,42,43375,108292
