queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,enq,1,0,100000,0.006968,14350464,0,42,84,250,0,0,0
moodycamel,enq,1,1,100000,0.006653,15031378,0,42,83,209,0,0,0
moodycamel,enq,1,2,100000,0.006510,15361573,0,42,83,167,0,0,0
moodycamel,enq,1,3,100000,0.006582,15192373,0,42,83,208,0,0,0
moodycamel,enq,1,4,100000,0.006833,14635308,0,42,84,250,0,0,0
moodycamel,enq,1,5,100000,0.006609,15129927,0,42,83,167,0,0,0
moodycamel,enq,1,6,100000,0.006512,15355872,0,42,83,167,0,0,0
moodycamel,enq,1,7,100000,0.006696,14934847,0,42,83,208,0,0,0
moodycamel,enq,1,8,100000,0.006600,15150845,0,42,83,167,0,0,0
moodycamel,enq,1,9,100000,0.006587,15180362,0,42,83,167,0,0,0
moodycamel,enq,2,0,200000,0.007208,27745185,0,42,167,334,0,0,0
moodycamel,enq,2,1,200000,0.007088,28218030,0,42,125,417,0,0,0
moodycamel,enq,2,2,200000,0.007053,28355389,0,42,125,417,0,0,0
moodycamel,enq,2,3,200000,0.009712,20592640,0,42,167,417,0,0,0
moodycamel,enq,2,4,200000,0.009969,20062529,0,42,167,500,0,0,0
moodycamel,enq,2,5,200000,0.007337,27260955,0,42,125,417,0,0,0
moodycamel,enq,2,6,200000,0.006936,28836972,0,42,125,375,0,0,0
moodycamel,enq,2,7,200000,0.007067,28298882,0,42,125,417,0,0,0
moodycamel,enq,2,8,200000,0.007374,27121402,0,42,125,458,0,0,0
moodycamel,enq,2,9,200000,0.007132,28043281,0,42,125,417,0,0,0
moodycamel,enq,4,0,400000,0.012407,32240080,0,42,292,459,0,0,0
moodycamel,enq,4,1,400000,0.012621,31692479,0,42,292,458,0,0,0
moodycamel,enq,4,2,400000,0.013214,30270352,0,42,333,459,0,0,0
moodycamel,enq,4,3,400000,0.011774,33972682,0,42,291,458,0,0,0
moodycamel,enq,4,4,400000,0.014686,27237520,0,42,375,459,0,0,0
moodycamel,enq,4,5,400000,0.012441,32151004,0,42,250,417,0,0,0
moodycamel,enq,4,6,400000,0.013351,29960864,0,42,292,500,0,0,0
moodycamel,enq,4,7,400000,0.012727,31430376,0,42,291,417,0,0,0
moodycamel,enq,4,8,400000,0.014104,28361672,0,42,292,459,0,0,0
moodycamel,enq,4,9,400000,0.013099,30535904,0,42,292,459,0,0,0
moodycamel,enq,8,0,800000,0.017409,45954341,0,42,333,625,0,0,0
moodycamel,enq,8,1,800000,0.018514,43211710,0,42,250,791,0,0,0
moodycamel,enq,8,2,800000,0.017876,44752218,0,42,292,583,0,0,0
moodycamel,enq,8,3,800000,0.017982,44488728,0,42,292,667,0,0,0
moodycamel,enq,8,4,800000,0.017474,45781433,0,42,291,584,0,0,0
moodycamel,enq,8,5,800000,0.016536,48379171,0,42,292,666,0,0,0
moodycamel,enq,8,6,800000,0.019142,41793735,0,42,292,625,0,0,0
moodycamel,enq,8,7,800000,0.020759,38538276,0,42,292,500,0,0,0
moodycamel,enq,8,8,800000,0.018563,43096482,0,42,292,542,0,0,0
moodycamel,enq,8,9,800000,0.018024,44384341,0,42,292,583,0,0,0
