queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,enq,1,0,100000,0.005775,17316266,0,42,83,167,0,0,0
ms-hp,enq,1,1,100000,0.005938,16841986,0,42,84,208,0,0,0
ms-hp,enq,1,2,100000,0.005626,17773958,0,42,42,167,0,0,0
ms-hp,enq,1,3,100000,0.005596,17871373,0,42,42,166,0,0,0
ms-hp,enq,1,4,100000,0.005763,17352576,0,42,42,167,0,0,0
ms-hp,enq,1,5,100000,0.005575,17937490,0,42,42,125,0,0,0
ms-hp,enq,1,6,100000,0.005705,17529636,0,42,42,166,0,0,0
ms-hp,enq,1,7,100000,0.005656,17680599,0,42,42,125,0,0,0
ms-hp,enq,1,8,100000,0.005620,17794782,0,42,42,167,0,0,0
ms-hp,enq,1,9,100000,0.005641,17725914,0,42,42,125,0,0,0
ms-hp,enq,2,0,200000,0.018043,11084785,0,84,500,2250,0,0,0
ms-hp,enq,2,1,200000,0.018245,10962032,0,84,417,1958,0,0,0
ms-hp,enq,2,2,200000,0.021643,9240774,0,84,1375,4708,0,0,0
ms-hp,enq,2,3,200000,0.022808,8769045,0,125,1417,7625,0,0,0
ms-hp,enq,2,4,200000,0.021596,9260867,0,125,1417,4917,0,0,0
ms-hp,enq,2,5,200000,0.022266,8982439,0,83,1958,6209,0,0,0
ms-hp,enq,2,6,200000,0.024156,8279402,0,125,1917,9083,0,0,0
ms-hp,enq,2,7,200000,0.021218,9425940,0,125,875,4583,0,0,0
ms-hp,enq,2,8,200000,0.019292,10367193,0,125,416,1375,0,0,0
ms-hp,enq,2,9,200000,0.019104,10468943,0,125,375,2084,0,0,0
ms-hp,enq,4,0,400000,0.067104,5960878,0,250,4333,29167,0,0,0
ms-hp,enq,4,1,400000,0.067577,5919155,0,250,4500,25125,0,0,0
ms-hp,enq,4,2,400000,0.062194,6431497,0,291,4083,13250,0,0,0
ms-hp,enq,4,3,400000,0.074835,5345057,0,250,4875,35625,0,0,0
ms-hp,enq,4,4,400000,0.071114,5624752,0,250,4958,36791,0,0,0
ms-hp,enq,4,5,400000,0.074919,5339091,0,250,5209,29625,0,0,0
ms-hp,enq,4,6,400000,0.079394,5038164,0,250,5166,52791,0,0,0
ms-hp,enq,4,7,400000,0.087695,4561253,0,333,6500,32958,0,0,0
ms-hp,enq,4,8,400000,0.078585,5090030,0,291,5875,32125,0,0,0
ms-hp,enq,4,9,400000,0.074795,5347981,0,250,5000,31166,0,0,0
ms-hp,enq,8,0,800000,0.213468,3747637,0,542,20333,72834,0,0,0
ms-hp,enq,8,1,800000,0.175477,4559010,0,292,12458,82959,0,0,0
ms-hp,enq,8,2,800000,0.188119,4252634,0,416,16500,85417,0,0,0
ms-hp,enq,8,3,800000,0.200478,3990459,0,500,17584,83833,0,0,0
ms-hp,enq,8,4,800000,0.208564,3835752,0,541,18750,72500,0,0,0
ms-hp,enq,8,5,800000,0.213915,3739809,0,542,19334,77666,0,0,0
ms-hp,enq,8,6,800000,0.204988,3902672,0,500,18500,75042,0,0,0
ms-hp,enq,8,7,800000,0.213081,3754448,0,542,19792,74541,0,0,0
ms-hp,enq,8,8,800000,0.212500,3764712,0,542,19917,76208,0,0,0
ms-hp,enq,8,9,800000,0.208177,3842887,0,500,19041,82917,0,0,0
