queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,enq,1,0,100000,0.006751,14812710,0,42,83,167,0,0,0
mutex,enq,1,1,100000,0.006576,15206140,0,42,83,208,0,0,0
mutex,enq,1,2,100000,0.006518,15342031,0,42,83,208,0,0,0
mutex,enq,1,3,100000,0.006687,14954483,0,42,83,250,0,0,0
mutex,enq,1,4,100000,0.006560,15243707,0,42,83,208,0,0,0
mutex,enq,1,5,100000,0.006968,14350462,0,42,84,291,0,0,0
mutex,enq,1,6,100000,0.006977,14332465,0,42,84,250,0,0,0
mutex,enq,1,7,100000,0.006667,14998688,0,42,83,250,0,0,0
mutex,enq,1,8,100000,0.006829,14642718,0,42,84,208,0,0,0
mutex,enq,1,9,100000,0.006577,15204114,0,42,125,209,0,0,0
mutex,enq,2,0,200000,0.020798,9616309,0,42,5291,15125,0,0,0
mutex,enq,2,1,200000,0.021222,9424108,0,42,5333,17666,0,0,0
mutex,enq,2,2,200000,0.021356,9364995,0,42,5292,14792,0,0,0
mutex,enq,2,3,200000,0.021307,9386715,0,42,5375,15584,0,0,0
mutex,enq,2,4,200000,0.021423,9335961,0,42,2500,22709,0,0,0
mutex,enq,2,5,200000,0.020288,9858044,0,42,4500,17750,0,0,0
mutex,enq,2,6,200000,0.022329,8957162,0,42,3875,21834,0,0,0
mutex,enq,2,7,200000,0.022042,9073724,0,42,5208,22250,0,0,0
mutex,enq,2,8,200000,0.020723,9650919,0,42,4875,18333,0,0,0
mutex,enq,2,9,200000,0.019247,10391365,0,42,4917,12500,0,0,0
mutex,enq,4,0,400000,0.067094,5961829,0,42,15458,41792,0,0,0
mutex,enq,4,1,400000,0.067667,5911279,0,42,16417,42084,0,0,0
mutex,enq,4,2,400000,0.064493,6202187,0,42,14417,37750,0,0,0
mutex,enq,4,3,400000,0.062392,6411113,0,42,13542,31417,0,0,0
mutex,enq,4,4,400000,0.065887,6071008,0,42,15875,38834,0,0,0
mutex,enq,4,5,400000,0.069115,5787445,0,42,15958,40667,0,0,0
mutex,enq,4,6,400000,0.065633,6094453,0,42,15500,39458,0,0,0
mutex,enq,4,7,400000,0.067084,5962700,0,42,15541,38667,0,0,0
mutex,enq,4,8,400000,0.067621,5915344,0,42,15542,39000,0,0,0
mutex,enq,4,9,400000,0.064677,6184547,0,42,14875,37458,0,0,0
mutex,enq,8,0,800000,0.133314,6000883,0,42,32625,93959,0,0,0
mutex,enq,8,1,800000,0.132662,6030363,0,42,29042,94458,0,0,0
mutex,enq,8,2,800000,0.133168,6007468,0,42,31083,82875,0,0,0
mutex,enq,8,3,800000,0.136218,5872961,0,42,33750,93083,0,0,0
mutex,enq,8,4,800000,0.131209,6097160,0,42,34000,100000,0,0,0
mutex,enq,8,5,800000,0.126613,6318458,0,42,28917,92792,0,0,0
mutex,enq,8,6,800000,0.134219,5960399,0,42,31041,83416,0,0,0
mutex,enq,8,7,800000,0.133136,6008916,0,42,30500,80041,0,0,0
mutex,enq,8,8,800000,0.135536,5902498,0,42,31792,91333,0,0,0
mutex,enq,8,9,800000,0.136578,5857477,0,42,33875,94333,0,0,0
