queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,pairs,1,0,200000,0.006433,31090902,0,41,42,125,41,42,125
moodycamel,pairs,1,1,200000,0.006437,31071581,0,41,42,125,41,42,125
moodycamel,pairs,1,2,200000,0.006230,32101873,0,41,42,84,41,42,125
moodycamel,pairs,1,3,200000,0.006598,30312409,0,41,42,125,41,42,166
moodycamel,pairs,1,4,200000,0.006348,31507227,0,41,42,125,41,42,166
moodycamel,pairs,1,5,200000,0.006277,31864045,0,41,42,84,41,42,125
moodycamel,pairs,1,6,200000,0.006535,30606194,0,41,42,125,41,42,167
moodycamel,pairs,1,7,200000,0.006293,31781976,0,41,42,84,41,42,167
moodycamel,pairs,1,8,200000,0.006814,29350440,0,41,42,125,41,42,166
moodycamel,pairs,1,9,200000,0.006300,31744349,0,41,42,125,41,42,167
moodycamel,pairs,2,0,400000,0.014443,27694676,0,42,125,250,83,208,416
moodycamel,pairs,2,1,400000,0.015352,26056016,0,42,208,333,83,292,542
moodycamel,pairs,2,2,400000,0.014832,26968034,0,42,167,292,83,250,541
moodycamel,pairs,2,3,400000,0.014443,27695955,0,42,167,292,83,250,500
moodycamel,pairs,2,4,400000,0.014553,27486607,0,42,167,292,83,250,500
moodycamel,pairs,2,5,400000,0.010650,37558537,0,42,125,250,42,208,417
moodycamel,pairs,2,6,400000,0.010447,38289878,0,42,125,209,42,167,292
moodycamel,pairs,2,7,400000,0.010157,39380416,0,42,125,250,42,167,333
moodycamel,pairs,2,8,400000,0.011138,35912284,0,42,125,291,42,209,459
moodycamel,pairs,2,9,400000,0.015644,25568500,0,42,209,416,83,375,583
moodycamel,pairs,4,0,800000,0.042336,18896485,0,83,334,833,166,958,9292
moodycamel,pairs,4,1,800000,0.043087,18566960,0,42,333,833,125,875,9709
moodycamel,pairs,4,2,800000,0.042807,18688751,0,83,333,1000,125,958,9750
moodycamel,pairs,4,3,800000,0.036154,22127540,0,42,333,708,166,917,2417
moodycamel,pairs,4,4,800000,0.038295,20890478,0,83,333,750,167,958,6541
moodycamel,pairs,4,5,800000,0.043935,18208787,0,42,333,916,125,917,9625
moodycamel,pairs,4,6,800000,0.050295,15906193,0,83,334,875,166,917,8208
moodycamel,pairs,4,7,800000,0.043136,18546209,0,83,375,833,208,959,5708
moodycamel,pairs,4,8,800000,0.032666,24490108,0,42,292,666,166,833,1541
moodycamel,pairs,4,9,800000,0.036080,22173051,0,42,333,709,167,917,2833
moodycamel,pairs,8,0,1600000,0.081592,19609645,0,125,458,875,333,1500,10041
moodycamel,pairs,8,1,1600000,0.081621,19602738,0,125,458,917,375,1667,10209
moodycamel,pairs,8,2,1600000,0.082469,19401171,0,125,417,917,291,1500,12417
moodycamel,pairs,8,3,1600000,0.085676,18675108,0,125,459,959,375,1667,12750
moodycamel,pairs,8,4,1600000,0.081690,19586291,0,125,458,917,375,1625,10917
moodycamel,pairs,8,5,1600000,0.084257,18989567,0,83,375,833,167,1208,10041
moodycamel,pairs,8,6,1600000,0.087878,18207112,0,125,458,917,292,1458,8375
moodycamel,pairs,8,7,1600000,0.083926,19064385,0,125,459,917,375,1667,7000
moodycamel,pairs,8,8,1600000,0.082849,19312243,0,125,417,916,292,1417,5000
moodycamel,pairs,8,9,1600000,0.083246,19220248,0,125,458,1042,333,1583,14666
moodycamel,pairs,16,0,3200000,0.152925,20925341,0,84,417,834,333,1625,11959
moodycamel,pairs,16,1,3200000,0.154635,20693886,0,83,375,875,167,1375,14708
moodycamel,pairs,16,2,3200000,0.159637,20045436,0,84,417,875,292,1500,12250
moodycamel,pairs,16,3,3200000,0.176540,18126157,0,84,417,959,250,1375,29834
moodycamel,pairs,16,4,3200000,0.169122,18921285,0,125,458,959,334,1625,15500
moodycamel,pairs,16,5,3200000,0.166180,19256252,0,125,458,958,375,1583,13875
moodycamel,pairs,16,6,3200000,0.165980,19279388,0,84,417,875,250,1458,14584
moodycamel,pairs,16,7,3200000,0.175938,18188238,0,84,417,958,250,1375,29625
moodycamel,pairs,16,8,3200000,0.168172,19028166,0,84,417,917,333,1541,19000
moodycamel,pairs,16,9,3200000,0.171824,18623699,0,125,458,917,375,1625,18292
