queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp-unpadded,pairs,1,0,200000,0.008154,24528717,0,41,42,166,41,583,792
ms-hp-unpadded,pairs,1,1,200000,0.008300,24095538,0,41,42,125,41,583,875
ms-hp-unpadded,pairs,1,2,200000,0.008382,23860178,0,41,42,166,41,583,916
ms-hp-unpadded,pairs,1,3,200000,0.008489,23558630,0,41,83,125,41,583,834
ms-hp-unpadded,pairs,1,4,200000,0.008467,23620186,0,41,83,166,41,583,958
ms-hp-unpadded,pairs,1,5,200000,0.008647,23128965,0,41,83,166,41,583,917
ms-hp-unpadded,pairs,1,6,200000,0.009306,21491991,0,41,84,167,41,583,1500
ms-hp-unpadded,pairs,1,7,200000,0.008812,22696218,0,41,83,167,41,583,834
ms-hp-unpadded,pairs,1,8,200000,0.008549,23395460,0,41,83,167,41,583,792
ms-hp-unpadded,pairs,1,9,200000,0.008573,23328490,0,41,83,166,41,583,917
ms-hp-unpadded,pairs,2,0,400000,0.028364,14102218,0,125,416,958,125,1000,2250
ms-hp-unpadded,pairs,2,1,400000,0.030801,12986398,0,125,625,1333,125,1000,5542
ms-hp-unpadded,pairs,2,2,400000,0.034394,11629950,0,125,625,1417,125,1000,5375
ms-hp-unpadded,pairs,2,3,400000,0.030489,13119306,0,125,500,1042,125,1000,3708
ms-hp-unpadded,pairs,2,4,400000,0.028787,13895201,0,125,458,917,125,1000,2375
ms-hp-unpadded,pairs,2,5,400000,0.027882,14346023,0,125,209,917,125,1000,1459
ms-hp-unpadded,pairs,2,6,400000,0.029490,13563901,0,125,458,1000,125,959,2041
ms-hp-unpadded,pairs,2,7,400000,0.029452,13581248,0,125,417,959,166,959,1958
ms-hp-unpadded,pairs,2,8,400000,0.030713,13023748,0,125,583,1000,125,959,2750
ms-hp-unpadded,pairs,2,9,400000,0.030210,13240448,0,125,500,1000,125,1000,2542
ms-hp-unpadded,pairs,4,0,800000,0.065413,12229915,0,167,1750,10583,208,1833,8500
ms-hp-unpadded,pairs,4,1,800000,0.073443,10892838,0,167,2250,13583,208,2125,12958
ms-hp-unpadded,pairs,4,2,800000,0.069372,11531982,0,167,2000,13250,167,1916,11166
ms-hp-unpadded,pairs,4,3,800000,0.070088,11414141,0,167,2083,10917,208,2041,9583
ms-hp-unpadded,pairs,4,4,800000,0.069440,11520661,0,167,2083,12167,208,2000,10417
ms-hp-unpadded,pairs,4,5,800000,0.071102,11251475,0,167,2250,12666,208,2042,11625
ms-hp-unpadded,pairs,4,6,800000,0.069553,11502061,0,167,1916,11667,167,1916,10500
ms-hp-unpadded,pairs,4,7,800000,0.081806,9779294,0,208,2166,14458,208,2208,10916
ms-hp-unpadded,pairs,4,8,800000,0.067999,11764922,0,167,2000,11292,208,1875,8542
ms-hp-unpadded,pairs,4,9,800000,0.083433,9588494,0,167,2083,17125,167,2167,14042
ms-hp-unpadded,pairs,8,0,1600000,0.215948,7409180,0,542,7542,43166,416,4375,22041
ms-hp-unpadded,pairs,8,1,1600000,0.208130,7687500,0,459,6833,35625,334,3792,17875
ms-hp-unpadded,pairs,8,2,1600000,0.188865,8471656,0,333,6500,39875,250,3208,18375
ms-hp-unpadded,pairs,8,3,1600000,0.194555,8223892,0,292,5958,51583,209,3625,33750
ms-hp-unpadded,pairs,8,4,1600000,0.207628,7706080,0,459,7125,40583,334,4167,22166
ms-hp-unpadded,pairs,8,5,1600000,0.187673,8525454,0,333,6625,45292,291,3292,23625
ms-hp-unpadded,pairs,8,6,1600000,0.195724,8174792,0,375,6500,48958,292,3833,29084
ms-hp-unpadded,pairs,8,7,1600000,0.216234,7399397,0,542,7792,32833,417,4000,16500
ms-hp-unpadded,pairs,8,8,1600000,0.205324,7792559,0,459,7625,34083,375,3750,16833
ms-hp-unpadded,pairs,8,9,1600000,0.204745,7814584,0,459,7625,30833,375,3625,16250
ms-hp-unpadded,pairs,16,0,3200000,0.376628,8496457,0,334,10000,71500,250,3250,23458
ms-hp-unpadded,pairs,16,1,3200000,0.360827,8868517,0,292,9458,60708,209,3041,19833
ms-hp-unpadded,pairs,16,2,3200000,0.385223,8306878,0,416,10458,59542,250,3250,19625
ms-hp-unpadded,pairs,16,3,3200000,0.380640,8406886,0,292,9250,71916,209,3125,23125
ms-hp-unpadded,pairs,16,4,3200000,0.419605,7626212,0,541,11333,58250,333,3750,14166
ms-hp-unpadded,pairs,16,5,3200000,0.369124,8669164,0,333,10083,74625,250,3166,25125
ms-hp-unpadded,pairs,16,6,3200000,0.378257,8459846,0,333,10000,61000,250,3458,21916
ms-hp-unpadded,pairs,16,7,3200000,0.356939,8965127,0,292,9584,59041,209,2875,16333
ms-hp-unpadded,pairs,16,8,3200000,0.383120,8352474,0,375,10333,51375,250,3375,17792
ms-hp-unpadded,pairs,16,9,3200000,0.400813,7983776,0,458,11417,49833,292,4000,18083
