queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,pairs,1,0,200000,0.010156,19692147,0,41,84,167,41,584,1625
ms-hp,pairs,1,1,200000,0.009855,20294955,0,41,84,167,41,583,1542
ms-hp,pairs,1,2,200000,0.008815,22687418,0,41,84,167,41,583,1416
ms-hp,pairs,1,3,200000,0.008818,22681950,0,41,84,167,41,583,1417
ms-hp,pairs,1,4,200000,0.008670,23067939,0,41,83,167,41,583,833
ms-hp,pairs,1,5,200000,0.009002,22216360,0,41,83,167,41,583,917
ms-hp,pairs,1,6,200000,0.008538,23424234,0,41,83,166,41,583,834
ms-hp,pairs,1,7,200000,0.008775,22791589,0,41,84,167,41,583,1209
ms-hp,pairs,1,8,200000,0.009110,21953294,0,41,84,167,41,583,1417
ms-hp,pairs,1,9,200000,0.008721,22932603,0,41,84,166,41,583,1417
ms-hp,pairs,2,0,400000,0.037837,10571663,0,125,709,4750,125,1042,8125
ms-hp,pairs,2,1,400000,0.034684,11532668,0,125,666,2959,125,1042,6250
ms-hp,pairs,2,2,400000,0.035097,11397080,0,125,667,4500,125,1041,6209
ms-hp,pairs,2,3,400000,0.032984,12126908,0,125,625,2000,125,1000,5833
ms-hp,pairs,2,4,400000,0.030343,13182467,0,125,542,1833,125,1000,5500
ms-hp,pairs,2,5,400000,0.030348,13180621,0,125,542,1667,125,1000,4750
ms-hp,pairs,2,6,400000,0.031977,12508926,0,125,625,2292,125,1000,5166
ms-hp,pairs,2,7,400000,0.030891,12948685,0,125,500,1042,125,1000,3375
ms-hp,pairs,2,8,400000,0.028627,13972721,0,125,417,834,125,958,1958
ms-hp,pairs,2,9,400000,0.029981,13341728,0,125,542,1166,125,1000,4958
ms-hp,pairs,4,0,800000,0.065454,12222347,0,166,1750,12125,166,1875,9208
ms-hp,pairs,4,1,800000,0.053845,14857542,0,125,1416,8334,166,1541,5875
ms-hp,pairs,4,2,800000,0.054438,14695741,0,125,1417,7875,166,1583,6625
ms-hp,pairs,4,3,800000,0.065160,12277447,0,166,1709,10666,166,1792,9167
ms-hp,pairs,4,4,800000,0.062289,12843437,0,166,1792,10625,166,1833,8209
ms-hp,pairs,4,5,800000,0.058318,13717784,0,125,1542,9500,166,1625,7333
ms-hp,pairs,4,6,800000,0.056526,14152790,0,125,1542,7250,166,1625,6000
ms-hp,pairs,4,7,800000,0.059809,13375811,0,166,1708,9750,166,1625,7208
ms-hp,pairs,4,8,800000,0.052306,15294747,0,125,1333,6875,166,1500,5500
ms-hp,pairs,4,9,800000,0.052417,15262309,0,125,1334,7375,166,1500,5375
ms-hp,pairs,8,0,1600000,0.163592,9780404,0,292,6042,46125,167,2667,12208
ms-hp,pairs,8,1,1600000,0.167612,9545835,0,333,6375,43208,209,2791,13709
ms-hp,pairs,8,2,1600000,0.174811,9152725,0,375,6250,43416,291,3125,14041
ms-hp,pairs,8,3,1600000,0.177876,8995051,0,417,7375,51500,250,3000,11750
ms-hp,pairs,8,4,1600000,0.157248,10175040,0,250,5916,40625,125,2542,12500
ms-hp,pairs,8,5,1600000,0.165076,9692505,0,333,6417,45875,208,2667,12416
ms-hp,pairs,8,6,1600000,0.166661,9600322,0,375,7625,45625,250,2709,10250
ms-hp,pairs,8,7,1600000,0.159613,10024264,0,333,6166,33625,208,2584,10458
ms-hp,pairs,8,8,1600000,0.167378,9559206,0,375,7000,47500,250,2708,10708
ms-hp,pairs,8,9,1600000,0.165123,9689764,0,333,6959,44125,208,2667,14334
ms-hp,pairs,16,0,3200000,0.296562,10790328,0,333,10125,72958,125,2208,9625
ms-hp,pairs,16,1,3200000,0.300070,10664166,0,333,12042,65917,125,2250,9209
ms-hp,pairs,16,2,3200000,0.305736,10466535,0,334,12250,71584,125,2250,9250
ms-hp,pairs,16,3,3200000,0.291551,10975770,0,292,10208,68542,125,2166,9084
ms-hp,pairs,16,4,3200000,0.314710,10168086,0,333,11542,77625,125,2333,11375
ms-hp,pairs,16,5,3200000,0.329341,9716385,0,334,14041,79834,125,2750,17750
ms-hp,pairs,16,6,3200000,0.323714,9885260,0,292,11791,74625,125,2750,20416
ms-hp,pairs,16,7,3200000,0.320694,9978349,0,334,12250,65542,125,2708,12167
ms-hp,pairs,16,8,3200000,0.282044,11345754,0,250,8542,65958,125,2125,9916
ms-hp,pairs,16,9,3200000,0.313796,10197705,0,375,12792,82666,125,2250,8959
