queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-unpadded,pairs,1,0,200000,0.006361,31443248,0,41,42,667,0,42,83
ms-unpadded,pairs,1,1,200000,0.006256,31966964,0,41,42,791,0,42,42
ms-unpadded,pairs,1,2,200000,0.006606,30275888,0,41,42,833,0,42,84
ms-unpadded,pairs,1,3,200000,0.006294,31778400,0,41,42,666,0,42,42
ms-unpadded,pairs,1,4,200000,0.006208,32218659,0,41,42,667,0,42,42
ms-unpadded,pairs,1,5,200000,0.006045,33086563,0,41,42,667,0,42,42
ms-unpadded,pairs,1,6,200000,0.006355,31469425,0,41,42,250,0,42,83
ms-unpadded,pairs,1,7,200000,0.006200,32258283,0,41,42,834,0,42,83
ms-unpadded,pairs,1,8,200000,0.006129,32631969,0,41,42,750,0,42,42
ms-unpadded,pairs,1,9,200000,0.006296,31767886,0,41,42,750,0,42,83
ms-unpadded,pairs,2,0,400000,0.019752,20251626,0,125,209,1333,42,167,250
ms-unpadded,pairs,2,1,400000,0.020433,19576615,0,125,250,1375,83,167,334
ms-unpadded,pairs,2,2,400000,0.019664,20342086,0,125,250,1375,42,167,333
ms-unpadded,pairs,2,3,400000,0.019744,20259276,0,125,209,1375,42,167,291
ms-unpadded,pairs,2,4,400000,0.021039,19011897,0,125,417,1625,83,208,458
ms-unpadded,pairs,2,5,400000,0.020952,19091408,0,125,375,1334,83,208,375
ms-unpadded,pairs,2,6,400000,0.020320,19684676,0,125,333,1292,83,167,375
ms-unpadded,pairs,2,7,400000,0.020562,19453006,0,125,416,1417,42,209,417
ms-unpadded,pairs,2,8,400000,0.019987,20013509,0,125,250,1208,42,167,333
ms-unpadded,pairs,2,9,400000,0.020364,19642908,0,125,334,1209,42,208,375
ms-unpadded,pairs,4,0,800000,0.058731,13621427,0,250,2083,10917,125,625,1417
ms-unpadded,pairs,4,1,800000,0.058585,13655441,0,250,2042,11708,125,583,1208
ms-unpadded,pairs,4,2,800000,0.055888,14314290,0,250,1834,10833,125,583,1209
ms-unpadded,pairs,4,3,800000,0.061620,12982728,0,250,2375,12042,125,667,1334
ms-unpadded,pairs,4,4,800000,0.058859,13591804,0,250,2000,11875,166,584,1208
ms-unpadded,pairs,4,5,800000,0.061443,13020277,0,250,2167,11458,166,625,1167
ms-unpadded,pairs,4,6,800000,0.067675,11821168,0,292,2542,13209,166,667,1458
ms-unpadded,pairs,4,7,800000,0.062921,12714348,0,250,2334,12333,166,667,1334
ms-unpadded,pairs,4,8,800000,0.056386,14187846,0,250,1833,11000,125,583,1166
ms-unpadded,pairs,4,9,800000,0.057116,14006706,0,250,1875,10667,166,583,1209
ms-unpadded,pairs,8,0,1600000,0.187245,8544962,0,541,6500,39125,209,1500,6625
ms-unpadded,pairs,8,1,1600000,0.201715,7931967,0,625,7458,51375,250,1792,13042
ms-unpadded,pairs,8,2,1600000,0.182764,8754475,0,459,6875,42667,208,1625,11417
ms-unpadded,pairs,8,3,1600000,0.194416,8229777,0,542,7167,56125,209,1625,12667
ms-unpadded,pairs,8,4,1600000,0.200489,7980481,0,584,7250,53292,250,1708,11875
ms-unpadded,pairs,8,5,1600000,0.217063,7371118,0,750,7750,43500,333,1875,9625
ms-unpadded,pairs,8,6,1600000,0.176937,9042790,0,459,6208,37833,208,1458,6959
ms-unpadded,pairs,8,7,1600000,0.192526,8310568,0,542,6417,36917,250,1500,5542
ms-unpadded,pairs,8,8,1600000,0.230447,6943028,0,834,7167,34333,375,1875,4791
ms-unpadded,pairs,8,9,1600000,0.211930,7549669,0,667,7291,60209,292,1791,11000
ms-unpadded,pairs,16,0,3200000,0.394297,8115711,0,584,7542,59708,209,1708,11708
ms-unpadded,pairs,16,1,3200000,0.389352,8218774,0,542,7667,68417,208,1667,13042
ms-unpadded,pairs,16,2,3200000,0.414455,7720985,0,666,7958,69291,250,1791,14167
ms-unpadded,pairs,16,3,3200000,0.389949,8206205,0,583,7541,67417,208,1625,11667
ms-unpadded,pairs,16,4,3200000,0.387497,8258120,0,584,7417,55583,250,1708,10083
ms-unpadded,pairs,16,5,3200000,0.379079,8441522,0,541,6958,73791,167,1583,8250
ms-unpadded,pairs,16,6,3200000,0.370651,8633453,0,500,7125,58208,167,1583,11167
ms-unpadded,pairs,16,7,3200000,0.363449,8804541,0,417,7041,66333,166,1459,12417
ms-unpadded,pairs,16,8,3200000,0.364864,8770403,0,459,7000,56666,167,1583,10125
ms-unpadded,pairs,16,9,3200000,0.410614,7793208,0,667,7708,91875,250,1792,9667
