queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.006509,30728258,0,41,42,792,0,42,83
ms,pairs,1,1,200000,0.006589,30354002,0,41,42,875,41,42,125
ms,pairs,1,2,200000,0.006759,29589261,0,41,42,875,41,42,125
ms,pairs,1,3,200000,0.006912,28933787,0,41,42,1000,41,42,84
ms,pairs,1,4,200000,0.007065,28307894,0,41,83,1000,41,42,125
ms,pairs,1,5,200000,0.006557,30503498,0,41,42,833,0,42,84
ms,pairs,1,6,200000,0.006983,28639788,0,41,42,917,41,42,125
ms,pairs,1,7,200000,0.006542,30572663,0,41,42,875,0,42,84
ms,pairs,1,8,200000,0.006885,29050066,0,41,42,1000,41,42,125
ms,pairs,1,9,200000,0.007002,28564797,0,41,42,917,41,42,125
ms,pairs,2,0,400000,0.019515,20496660,0,83,292,1667,83,250,458
ms,pairs,2,1,400000,0.018733,21352361,0,83,250,1416,83,167,417
ms,pairs,2,2,400000,0.020548,19466654,0,83,417,1625,83,333,459
ms,pairs,2,3,400000,0.019863,20138241,0,83,458,1542,83,333,542
ms,pairs,2,4,400000,0.019697,20307231,0,83,334,1417,83,250,458
ms,pairs,2,5,400000,0.019094,20948578,0,83,209,1375,83,167,375
ms,pairs,2,6,400000,0.018835,21236729,0,83,250,1292,83,167,375
ms,pairs,2,7,400000,0.020496,19516201,0,83,375,1667,83,333,458
ms,pairs,2,8,400000,0.020421,19587919,0,83,334,1750,83,333,458
ms,pairs,2,9,400000,0.019646,20360594,0,83,292,1417,83,250,417
ms,pairs,4,0,800000,0.051602,15503325,0,167,1875,16916,125,542,1541
ms,pairs,4,1,800000,0.049379,16201151,0,167,1708,16500,125,542,1583
ms,pairs,4,2,800000,0.048172,16607057,0,167,1750,15834,125,542,1500
ms,pairs,4,3,800000,0.047740,16757334,0,167,1666,15875,125,542,1375
ms,pairs,4,4,800000,0.054208,14757901,0,167,1875,18625,125,583,2167
ms,pairs,4,5,800000,0.050175,15944354,0,167,1667,16000,125,542,1667
ms,pairs,4,6,800000,0.060007,13331741,0,167,1958,19167,84,542,2792
ms,pairs,4,7,800000,0.060738,13171263,0,208,2083,20166,125,583,5375
ms,pairs,4,8,800000,0.058636,13643573,0,167,1958,19333,125,583,3875
ms,pairs,4,9,800000,0.060526,13217542,0,167,1917,16083,125,625,2583
ms,pairs,8,0,1600000,0.150918,10601763,0,416,7583,38584,166,833,3584
ms,pairs,8,1,1600000,0.130491,12261402,0,292,4875,31208,125,583,1667
ms,pairs,8,2,1600000,0.146584,10915255,0,375,7708,39125,166,875,4041
ms,pairs,8,3,1600000,0.146988,10885264,0,375,7125,35042,166,750,2708
ms,pairs,8,4,1600000,0.131432,12173619,0,292,6000,36375,125,625,2250
ms,pairs,8,5,1600000,0.145351,11007852,0,375,7417,36042,125,792,2917
ms,pairs,8,6,1600000,0.136490,11722481,0,333,5458,34084,125,667,3042
ms,pairs,8,7,1600000,0.158010,10125933,0,500,8667,39458,167,1042,5250
ms,pairs,8,8,1600000,0.137512,11635373,0,333,4959,32667,125,834,4250
ms,pairs,8,9,1600000,0.143972,11113282,0,375,7417,37208,125,709,2958
ms,pairs,16,0,3200000,0.281426,11370671,0,375,6583,73459,125,584,2500
ms,pairs,16,1,3200000,0.291620,10973198,0,375,6750,90792,125,542,2250
ms,pairs,16,2,3200000,0.275982,11594963,0,333,5334,77458,125,625,8417
ms,pairs,16,3,3200000,0.280284,11416998,0,375,6667,78542,125,625,8167
ms,pairs,16,4,3200000,0.264431,12101436,0,291,4500,67417,84,542,7708
ms,pairs,16,5,3200000,0.286988,11150287,0,375,6708,116958,125,542,5334
ms,pairs,16,6,3200000,0.289232,11063800,0,292,4417,53250,125,584,6250
ms,pairs,16,7,3200000,0.304385,10512989,0,458,6167,108542,166,625,9042
ms,pairs,16,8,3200000,0.293538,10901472,0,417,7625,53500,125,750,5583
ms,pairs,16,9,3200000,0.284493,11248082,0,375,6541,65666,125,584,4834
