queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,pairs,1,0,200000,0.007567,26429097,0,41,42,125,41,42,167
mutex,pairs,1,1,200000,0.008393,23828907,0,41,42,167,41,83,208
mutex,pairs,1,2,200000,0.007902,25311115,0,41,42,166,41,83,208
mutex,pairs,1,3,200000,0.008108,24666868,0,41,42,167,41,42,208
mutex,pairs,1,4,200000,0.007704,25959135,0,41,42,125,41,83,208
mutex,pairs,1,5,200000,0.007378,27108077,0,41,42,125,41,83,167
mutex,pairs,1,6,200000,0.007588,26356680,0,41,42,166,41,83,208
mutex,pairs,1,7,200000,0.007316,27337653,0,41,42,125,41,83,208
mutex,pairs,1,8,200000,0.007357,27185918,0,41,42,125,41,83,167
mutex,pairs,1,9,200000,0.007535,26542948,0,41,42,125,41,83,167
mutex,pairs,2,0,400000,0.024058,16626630,0,41,3583,11958,41,2833,9584
mutex,pairs,2,1,400000,0.024339,16434472,0,41,3500,11416,41,2750,9416
mutex,pairs,2,2,400000,0.024910,16057916,0,41,2833,18917,41,834,11500
mutex,pairs,2,3,400000,0.025486,15695173,0,41,2750,19875,41,833,12584
mutex,pairs,2,4,400000,0.025340,15785579,0,41,2500,19458,41,792,12666
mutex,pairs,2,5,400000,0.026054,15352679,0,41,2625,18291,41,875,14750
mutex,pairs,2,6,400000,0.025854,15471743,0,41,2875,18708,41,916,14750
mutex,pairs,2,7,400000,0.024884,16074425,0,41,1833,18500,41,667,13000
mutex,pairs,2,8,400000,0.021940,18231679,0,41,125,15667,42,125,11416
mutex,pairs,2,9,400000,0.026231,15248963,0,41,3250,19209,41,833,13542
mutex,pairs,4,0,800000,0.078279,10219909,0,42,12834,43042,42,8500,32708
mutex,pairs,4,1,800000,0.057482,13917309,0,41,4083,53125,41,1084,30541
mutex,pairs,4,2,800000,0.067309,11885469,0,41,9625,51958,42,4417,32791
mutex,pairs,4,3,800000,0.081864,9772295,0,42,13125,36792,42,9417,30625
mutex,pairs,4,4,800000,0.068410,11694190,0,41,10167,45000,42,5209,32875
mutex,pairs,4,5,800000,0.070716,11312831,0,41,11250,47792,42,5500,33459
mutex,pairs,4,6,800000,0.083574,9572341,0,42,12791,35542,42,9459,30084
mutex,pairs,4,7,800000,0.081286,9841758,0,42,13459,40792,42,9667,32500
mutex,pairs,4,8,800000,0.078332,10212929,0,42,13041,43167,42,8500,34959
mutex,pairs,4,9,800000,0.084412,9477377,0,42,12667,32416,42,9916,29125
mutex,pairs,8,0,1600000,0.176195,9080874,0,42,26041,94208,42,19083,76000
mutex,pairs,8,1,1600000,0.170075,9407598,0,42,24709,94000,42,17458,74916
mutex,pairs,8,2,1600000,0.161302,9919302,0,42,23084,113833,42,14417,87542
mutex,pairs,8,3,1600000,0.181801,8800854,0,42,26458,82000,42,20708,69000
mutex,pairs,8,4,1600000,0.163158,9806450,0,42,21833,119375,42,13292,90542
mutex,pairs,8,5,1600000,0.167439,9555716,0,42,24459,107708,42,16000,85750
mutex,pairs,8,6,1600000,0.166952,9583567,0,42,24583,100791,42,17250,81500
mutex,pairs,8,7,1600000,0.181168,8831600,0,42,26208,86458,42,20208,71500
mutex,pairs,8,8,1600000,0.177243,9027168,0,42,25833,94541,42,19125,77792
mutex,pairs,8,9,1600000,0.181354,8822504,0,42,26125,85541,42,20541,70500
mutex,pairs,16,0,3200000,0.345410,9264360,0,42,39250,201250,42,26084,168083
mutex,pairs,16,1,3200000,0.350914,9119046,0,42,58375,221667,42,36042,190333
mutex,pairs,16,2,3200000,0.353923,9041514,0,42,33750,170750,42,24875,140208
mutex,pairs,16,3,3200000,0.339250,9432564,0,42,31375,178542,42,22166,146000
mutex,pairs,16,4,3200000,0.359504,8901149,0,42,54792,164041,42,41250,142167
mutex,pairs,16,5,3200000,0.364747,8773205,0,42,66792,202000,42,51042,174625
mutex,pairs,16,6,3200000,0.358966,8914504,0,42,27125,204291,42,20667,136042
mutex,pairs,16,7,3200000,0.366342,8735016,0,42,36625,228709,42,26875,176542
mutex,pairs,16,8,3200000,0.372460,8591535,0,42,38792,207208,42,23958,163917
mutex,pairs,16,9,3200000,0.374301,8549264,0,42,66416,239875,42,44708,195583
