queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
moodycamel,pc_1p3c,4,0,200000,0.021842,9156583,0,125,542,7417,459,1833,21250
moodycamel,pc_1p3c,4,1,200000,0.022595,8851679,0,166,500,3500,500,1667,16792
moodycamel,pc_1p3c,4,2,200000,0.021507,9299424,0,125,459,8125,459,1584,21667
moodycamel,pc_1p3c,4,3,200000,0.022078,9058963,0,125,500,7625,458,1625,28875
moodycamel,pc_1p3c,4,4,200000,0.020565,9725222,0,125,458,7958,417,1625,23666
moodycamel,pc_1p3c,4,5,200000,0.022401,8928007,0,166,542,5250,500,1916,20250
moodycamel,pc_1p3c,4,6,200000,0.021495,9304309,0,125,500,2541,459,1750,16209
moodycamel,pc_1p3c,4,7,200000,0.018492,10815732,0,125,500,875,458,1125,16500
moodycamel,pc_1p3c,4,8,200000,0.019714,10144989,0,125,500,1459,458,1458,13458
moodycamel,pc_1p3c,4,9,200000,0.022670,8822216,0,166,500,4958,459,2083,20791
moodycamel,pc_2p6c,8,0,400000,0.037896,10555239,0,208,667,2042,750,3042,34292
moodycamel,pc_2p6c,8,1,400000,0.032315,12378184,0,125,625,1334,542,1667,21583
moodycamel,pc_2p6c,8,2,400000,0.040628,9845427,0,125,625,1167,583,2709,34833
moodycamel,pc_2p6c,8,3,400000,0.030097,13290287,0,125,667,1500,666,1709,15417
moodycamel,pc_2p6c,8,4,400000,0.028381,14093833,0,125,625,1167,584,1583,14625
moodycamel,pc_2p6c,8,5,400000,0.028707,13933742,0,125,584,1125,584,1625,13167
moodycamel,pc_2p6c,8,6,400000,0.028720,13927799,0,125,625,1042,625,1625,13750
moodycamel,pc_2p6c,8,7,400000,0.028885,13848238,0,125,625,1042,625,1625,12709
moodycamel,pc_2p6c,8,8,400000,0.028886,13847479,0,125,625,1042,667,1625,13458
moodycamel,pc_2p6c,8,9,400000,0.028384,14092488,0,125,584,959,584,1542,16125
moodycamel,pc_4p12c,16,0,800000,0.075433,10605397,0,125,625,1167,667,4083,33000
moodycamel,pc_4p12c,16,1,800000,0.095209,8402556,0,125,625,1625,583,2875,39000
moodycamel,pc_4p12c,16,2,800000,0.089221,8966507,0,166,666,1125,667,3750,55125
moodycamel,pc_4p12c,16,3,800000,0.082658,9678429,0,125,584,1209,666,2584,41584
moodycamel,pc_4p12c,16,4,800000,0.078377,10207130,0,125,583,1042,625,2042,32833
moodycamel,pc_4p12c,16,5,800000,0.089372,8951341,0,125,666,7541,584,4375,84167
moodycamel,pc_4p12c,16,6,800000,0.104755,7636903,0,125,625,3917,542,3250,52083
moodycamel,pc_4p12c,16,7,800000,0.070610,11329873,0,125,625,1167,666,2500,38000
moodycamel,pc_4p12c,16,8,800000,0.074762,10700647,0,125,625,1167,667,2500,33708
moodycamel,pc_4p12c,16,9,800000,0.066039,12114069,0,125,584,5083,584,2500,39000
