queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pc_1p3c,4,0,200000,0.017265,11584297,0,84,292,6167,292,3625,20208
ms,pc_1p3c,4,1,200000,0.015434,12958508,0,83,291,2375,291,2625,17250
ms,pc_1p3c,4,2,200000,0.019155,10441411,0,125,292,3583,333,3709,19750
ms,pc_1p3c,4,3,200000,0.016355,12228770,0,83,291,1583,291,3542,14334
ms,pc_1p3c,4,4,200000,0.014439,13851415,0,83,250,1375,291,2291,9959
ms,pc_1p3c,4,5,200000,0.014170,14114202,0,83,250,1458,291,2000,11416
ms,pc_1p3c,4,6,200000,0.014188,14096005,0,83,250,1375,250,2792,12333
ms,pc_1p3c,4,7,200000,0.013337,14996251,0,83,250,1292,250,2042,11458
ms,pc_1p3c,4,8,200000,0.015799,12658963,0,83,250,1542,292,2750,13083
ms,pc_1p3c,4,9,200000,0.019775,10113929,0,84,292,2709,291,3834,21166
ms,pc_2p6c,8,0,400000,0.039363,10161870,0,125,792,4792,334,5542,62250
ms,pc_2p6c,8,1,400000,0.041697,9593026,0,167,1041,5791,500,6667,48459
ms,pc_2p6c,8,2,400000,0.036296,11020561,0,125,834,2792,417,6458,36459
ms,pc_2p6c,8,3,400000,0.039163,10213603,0,209,1000,4167,542,7500,26625
ms,pc_2p6c,8,4,400000,0.036404,10987904,0,167,875,2625,459,7000,26167
ms,pc_2p6c,8,5,400000,0.048563,8236688,0,167,958,4750,458,5417,43791
ms,pc_2p6c,8,6,400000,0.048088,8318019,0,125,750,13250,333,6084,96834
ms,pc_2p6c,8,7,400000,0.066237,6038944,0,125,709,11250,333,7375,182208
ms,pc_2p6c,8,8,400000,0.046481,8605674,0,166,958,5125,375,5250,88958
ms,pc_2p6c,8,9,400000,0.054169,7384348,0,167,958,6083,375,5208,147833
ms,pc_4p12c,16,0,800000,0.085523,9354259,0,125,1208,5291,417,6542,324291
ms,pc_4p12c,16,1,800000,0.078620,10175501,0,125,1041,3208,458,6875,73709
ms,pc_4p12c,16,2,800000,0.121433,6587997,0,125,1125,7375,375,7042,251125
ms,pc_4p12c,16,3,800000,0.112005,7142568,0,125,1417,7458,375,6792,656833
ms,pc_4p12c,16,4,800000,0.092696,8630338,0,125,1250,4625,458,7833,103125
ms,pc_4p12c,16,5,800000,0.082018,9753971,0,125,1375,3708,458,8375,140625
ms,pc_4p12c,16,6,800000,0.086295,9270485,0,125,1500,4834,500,8167,144292
ms,pc_4p12c,16,7,800000,0.100017,7998624,0,167,1750,5708,458,6750,63333
ms,pc_4p12c,16,8,800000,0.091616,8732139,0,125,1416,4083,459,7958,94500
ms,pc_4p12c,16,9,800000,0.106232,7530696,0,208,1792,5250,500,8834,73042
