queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,pc_3p1c,4,0,600000,0.044590,13455944,0,208,1833,7833,125,1083,1958
ms-hp,pc_3p1c,4,1,600000,0.046736,12838012,0,125,2458,10083,83,959,1958
ms-hp,pc_3p1c,4,2,600000,0.048182,12452826,0,125,2625,12208,83,917,1917
ms-hp,pc_3p1c,4,3,600000,0.052384,11453897,0,167,2625,9375,83,959,3250
ms-hp,pc_3p1c,4,4,600000,0.046532,12894352,0,125,2708,9334,83,958,1958
ms-hp,pc_3p1c,4,5,600000,0.042392,14153739,0,125,2542,7125,125,917,1583
ms-hp,pc_3p1c,4,6,600000,0.047737,12568900,0,166,2541,8709,84,959,2291
ms-hp,pc_3p1c,4,7,600000,0.049480,12126122,0,167,2875,10625,125,958,2167
ms-hp,pc_3p1c,4,8,600000,0.047332,12676424,0,125,2333,10959,42,916,2250
ms-hp,pc_3p1c,4,9,600000,0.055412,10827931,0,167,2208,22167,83,1083,3834
ms-hp,pc_6p2c,8,0,1200000,0.140088,8566029,0,417,9875,36667,292,2167,8667
ms-hp,pc_6p2c,8,1,1200000,0.133224,9007395,0,292,9250,47167,208,2166,14250
ms-hp,pc_6p2c,8,2,1200000,0.132860,9032036,0,208,6334,38000,125,1750,12334
ms-hp,pc_6p2c,8,3,1200000,0.139838,8581341,0,375,8084,33500,209,2208,7542
ms-hp,pc_6p2c,8,4,1200000,0.135552,8852675,0,292,8083,51458,167,2083,10458
ms-hp,pc_6p2c,8,5,1200000,0.136524,8789655,0,250,6708,43125,125,1917,11167
ms-hp,pc_6p2c,8,6,1200000,0.140358,8549586,0,292,8750,49667,208,2667,16750
ms-hp,pc_6p2c,8,7,1200000,0.144095,8327859,0,375,8667,40875,250,2292,10041
ms-hp,pc_6p2c,8,8,1200000,0.141598,8474721,0,334,7500,43916,250,2459,8958
ms-hp,pc_6p2c,8,9,1200000,0.138448,8667499,0,375,8667,47958,167,2125,9583
ms-hp,pc_12p4c,16,0,2400000,0.262251,9151542,0,333,7500,46750,291,2833,13084
ms-hp,pc_12p4c,16,1,2400000,0.269732,8897718,0,375,8750,42959,292,3083,12917
ms-hp,pc_12p4c,16,2,2400000,0.264365,9078358,0,250,6709,42000,208,2709,22833
ms-hp,pc_12p4c,16,3,2400000,0.279089,8599402,0,417,10500,88250,333,3708,14041
ms-hp,pc_12p4c,16,4,2400000,0.253661,9461439,0,333,7666,52042,208,2333,11375
ms-hp,pc_12p4c,16,5,2400000,0.269282,8912575,0,334,7792,42041,291,3041,13625
ms-hp,pc_12p4c,16,6,2400000,0.275249,8719387,0,375,10000,112250,250,3041,19000
ms-hp,pc_12p4c,16,7,2400000,0.268590,8935562,0,375,8709,47000,292,3250,13584
ms-hp,pc_12p4c,16,8,2400000,0.283825,8455904,0,500,11917,51125,292,3750,13166
ms-hp,pc_12p4c,16,9,2400000,0.270033,8887800,0,459,10500,46583,333,3292,11250
