queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
mutex,pc_3p1c,4,0,600000,0.062077,9665454,0,42,13667,43875,41,3791,29667
mutex,pc_3p1c,4,1,600000,0.062769,9558827,0,42,12958,39917,41,4417,25750
mutex,pc_3p1c,4,2,600000,0.061700,9724408,0,42,12750,38291,41,4250,26375
mutex,pc_3p1c,4,3,600000,0.063111,9506996,0,42,12792,37292,41,4459,26250
mutex,pc_3p1c,4,4,600000,0.062297,9631263,0,42,12083,37000,41,4458,25000
mutex,pc_3p1c,4,5,600000,0.062635,9579302,0,42,12500,40667,41,4292,26709
mutex,pc_3p1c,4,6,600000,0.060478,9920888,0,42,12500,44125,41,3542,26875
mutex,pc_3p1c,4,7,600000,0.059975,10004224,0,42,11416,40416,41,3833,24917
mutex,pc_3p1c,4,8,600000,0.062716,9566994,0,42,13000,44250,41,3917,27958
mutex,pc_3p1c,4,9,600000,0.062288,9632635,0,42,12542,42000,41,3916,27709
mutex,pc_6p2c,8,0,1200000,0.143964,8335441,0,42,28292,106333,42,6875,70167
mutex,pc_6p2c,8,1,1200000,0.154611,7761433,0,42,31625,105500,42,8500,71291
mutex,pc_6p2c,8,2,1200000,0.153067,7839711,0,42,30750,100583,42,9125,67708
mutex,pc_6p2c,8,3,1200000,0.157345,7626559,0,42,32792,105625,42,8833,71625
mutex,pc_6p2c,8,4,1200000,0.153333,7826125,0,42,29958,101125,42,9042,66042
mutex,pc_6p2c,8,5,1200000,0.147972,8109636,0,42,27708,86625,42,9083,57708
mutex,pc_6p2c,8,6,1200000,0.147214,8151385,0,42,26542,80750,42,9250,54958
mutex,pc_6p2c,8,7,1200000,0.146240,8205710,0,42,27167,81625,42,9625,55625
mutex,pc_6p2c,8,8,1200000,0.156781,7653987,0,42,29417,110875,42,8666,72084
mutex,pc_6p2c,8,9,1200000,0.150500,7973413,0,42,28042,106875,42,8833,67625
mutex,pc_12p4c,16,0,2400000,0.341902,7019562,0,42,74709,282250,42,18125,168750
mutex,pc_12p4c,16,1,2400000,0.346031,6935789,0,42,54000,259125,42,22334,143833
mutex,pc_12p4c,16,2,2400000,0.337153,7118428,0,42,52959,210500,42,24125,128250
mutex,pc_12p4c,16,3,2400000,0.336877,7124270,0,42,28166,152416,42,19208,98541
mutex,pc_12p4c,16,4,2400000,0.334276,7179699,0,42,53292,208584,42,20750,129000
mutex,pc_12p4c,16,5,2400000,0.321494,7465144,0,42,34875,219667,42,16917,138792
mutex,pc_12p4c,16,6,2400000,0.329045,7293830,0,42,70708,254458,42,19708,143375
mutex,pc_12p4c,16,7,2400000,0.333313,7200443,0,42,72625,313667,42,20792,146750
mutex,pc_12p4c,16,8,2400000,0.333754,7190923,0,42,68042,248334,42,20625,159250
mutex,pc_12p4c,16,9,2400000,0.333496,7196480,0,42,68583,269708,42,18417,171875
