queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.005948,33623809,0,41,42,375,0,42,42
ms,pairs,1,1,200000,0.006194,32288661,0,41,42,667,0,42,83
ms,pairs,1,2,200000,0.005972,33492422,0,41,42,666,0,42,42
ms,pairs,1,3,200000,0.005957,33571360,0,41,42,250,0,42,42
ms,pairs,1,4,200000,0.005893,33938571,0,41,42,209,0,42,42
ms,pairs,1,5,200000,0.005930,33728946,0,41,42,667,0,42,83
ms,pairs,1,6,200000,0.006202,32245931,0,41,42,667,0,42,84
ms,pairs,1,7,200000,0.005905,33869837,0,41,42,167,0,42,42
ms,pairs,1,8,200000,0.005911,33836654,0,41,42,125,0,42,42
ms,pairs,1,9,200000,0.005951,33609209,0,41,42,292,0,42,42
ms,pairs,8,0,1600000,0.162465,9848285,0,583,10416,32042,167,1166,4584
ms,pairs,8,1,1600000,0.160349,9978217,0,584,10542,31750,167,1042,3375
ms,pairs,8,2,1600000,0.165590,9662441,0,625,10542,31333,167,1208,4792
ms,pairs,8,3,1600000,0.158550,10091449,0,542,10167,32375,167,1292,5083
ms,pairs,8,4,1600000,0.164084,9751093,0,584,10333,30291,208,1625,5959
ms,pairs,8,5,1600000,0.165173,9686821,0,625,10583,31292,167,1208,4750
ms,pairs,8,6,1600000,0.169188,9456961,0,625,10791,32250,167,1250,5000
ms,pairs,8,7,1600000,0.169691,9428929,0,625,10667,31167,208,1291,4791
ms,pairs,8,8,1600000,0.167115,9574269,0,625,10792,32417,208,1458,5458
ms,pairs,8,9,1600000,0.171623,9322785,0,666,10875,31416,208,1458,5666
ms,pairs,16,0,3200000,0.348432,9184008,0,791,9125,27375,167,833,4167
ms,pairs,16,1,3200000,0.342767,9335800,0,750,8834,27375,167,875,4334
ms,pairs,16,2,3200000,0.335080,9549955,0,708,9042,29041,167,791,3208
ms,pairs,16,3,3200000,0.350143,9139124,0,791,9209,28042,167,1042,4917
ms,pairs,16,4,3200000,0.341445,9371933,0,750,8834,27709,167,917,4542
ms,pairs,16,5,3200000,0.318383,10050787,0,625,8833,29666,166,875,4416
ms,pairs,16,6,3200000,0.323676,9886428,0,666,8750,30750,167,750,3417
ms,pairs,16,7,3200000,0.332977,9610275,0,708,9000,29292,167,833,4417
ms,pairs,16,8,3200000,0.323347,9896486,0,625,9292,33500,167,750,3583
ms,pairs,16,9,3200000,0.343351,9319901,0,750,9041,26791,167,916,4291
