queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms,pairs,1,0,200000,0.011467,17442114,0,42,84,1083,42,42,84
ms,pairs,1,1,200000,0.009638,20750205,0,42,83,1042,42,42,84
ms,pairs,1,2,200000,0.008546,23403446,0,42,42,875,41,42,42
ms,pairs,1,3,200000,0.007712,25933610,0,41,42,250,41,42,42
ms,pairs,1,4,200000,0.006925,28881213,0,41,42,167,41,42,42
ms,pairs,1,5,200000,0.006353,31481398,0,41,42,333,0,42,125
ms,pairs,1,6,200000,0.006127,32644182,0,41,42,667,0,42,83
ms,pairs,1,7,200000,0.006050,33057398,0,41,42,209,0,42,84
ms,pairs,1,8,200000,0.006125,32652176,0,41,42,625,0,42,83
ms,pairs,1,9,200000,0.006089,32848587,0,41,42,666,0,42,42
ms,pairs,8,0,1600000,0.164357,9734882,0,625,11208,29583,167,1083,3917
ms,pairs,8,1,1600000,0.162933,9819997,0,542,10792,30917,167,875,2958
ms,pairs,8,2,1600000,0.164566,9722533,0,625,11084,30375,167,1125,4208
ms,pairs,8,3,1600000,0.167236,9567306,0,625,11833,31000,167,1042,3667
ms,pairs,8,4,1600000,0.164276,9739706,0,583,11166,30584,167,1250,4833
ms,pairs,8,5,1600000,0.164203,9744022,0,584,11334,30750,167,1083,3917
ms,pairs,8,6,1600000,0.160481,9970009,0,583,10959,30042,167,1042,3708
ms,pairs,8,7,1600000,0.163846,9765257,0,584,11375,30292,167,1083,4083
ms,pairs,8,8,1600000,0.156312,10235944,0,542,11208,30042,167,1042,3709
ms,pairs,8,9,1600000,0.158560,10090820,0,542,11250,31625,167,1125,4584
ms,pairs,16,0,3200000,0.333037,9608547,0,667,10334,33167,167,834,3542
ms,pairs,16,1,3200000,0.340380,9401256,0,750,10167,30917,166,666,2125
ms,pairs,16,2,3200000,0.339813,9416943,0,708,10500,31583,167,792,3250
ms,pairs,16,3,3200000,0.343287,9321644,0,750,10584,31458,167,709,2375
ms,pairs,16,4,3200000,0.332474,9624824,0,667,10209,31541,166,625,1917
ms,pairs,16,5,3200000,0.336821,9500593,0,708,10542,31416,167,750,2667
ms,pairs,16,6,3200000,0.342035,9355770,0,750,10375,32542,167,667,2250
ms,pairs,16,7,3200000,0.341152,9379984,0,750,10500,30875,166,625,2083
ms,pairs,16,8,3200000,0.339679,9420672,0,708,10542,30916,167,792,2417
ms,pairs,16,9,3200000,0.339539,9424549,0,709,10375,31583,167,750,2334
