queue,workload,threads,rep,ops_total,seconds,throughput_ops_s,pinned,enq_p50_ns,enq_p99_ns,enq_p999_ns,deq_p50_ns,deq_p99_ns,deq_p999_ns
ms-hp,pairs,1,0,200000,0.011284,17724736,0,42,83,125,42,833,1000
ms-hp,pairs,1,1,200000,0.010810,18500602,0,42,83,125,42,791,1041
ms-hp,pairs,1,2,200000,0.009464,21132622,0,41,42,125,41,667,917
ms-hp,pairs,1,3,200000,0.008346,23964652,0,41,42,125,41,584,792
ms-hp,pairs,1,4,200000,0.007490,26702566,0,41,42,125,41,542,750
ms-hp,pairs,1,5,200000,0.007340,27249505,0,41,42,125,41,541,708
ms-hp,pairs,1,6,200000,0.007233,27651201,0,41,42,83,41,541,708
ms-hp,pairs,1,7,200000,0.007185,27837222,0,41,42,84,41,500,667
ms-hp,pairs,1,8,200000,0.007699,25978807,0,41,42,125,41,541,709
ms-hp,pairs,1,9,200000,0.007851,25475137,0,41,42,125,41,542,750
ms-hp,pairs,8,0,1600000,0.145281,11013140,0,375,12167,70208,125,2083,7166
ms-hp,pairs,8,1,1600000,0.146838,10896377,0,375,11625,75750,125,2083,7000
ms-hp,pairs,8,2,1600000,0.146183,10945210,0,333,12875,64084,125,2125,7584
ms-hp,pairs,8,3,1600000,0.133176,12014177,0,250,5125,53042,125,2000,8000
ms-hp,pairs,8,4,1600000,0.138183,11578869,0,292,7209,67500,125,2000,8167
ms-hp,pairs,8,5,1600000,0.147125,10875115,0,291,10375,65375,125,2417,19834
ms-hp,pairs,8,6,1600000,0.147290,10862954,0,333,12917,69542,125,2167,8083
ms-hp,pairs,8,7,1600000,0.148138,10800731,0,375,14125,74417,125,2125,7125
ms-hp,pairs,8,8,1600000,0.149714,10687028,0,375,14041,69708,125,2125,7209
ms-hp,pairs,8,9,1600000,0.144389,11081148,0,375,11834,72125,125,2042,7042
ms-hp,pairs,16,0,3200000,0.287299,11138240,0,334,11042,66584,125,2208,8791
ms-hp,pairs,16,1,3200000,0.297136,10769488,0,375,11250,65000,125,2291,9000
ms-hp,pairs,16,2,3200000,0.314817,10164645,0,417,13459,65834,125,2459,9000
ms-hp,pairs,16,3,3200000,0.297966,10739470,0,375,12333,63542,125,2292,8542
ms-hp,pairs,16,4,3200000,0.298563,10718024,0,375,11166,66958,125,2292,9000
ms-hp,pairs,16,5,3200000,0.296408,10795915,0,375,11708,67417,125,2250,8750
ms-hp,pairs,16,6,3200000,0.301163,10625486,0,375,11042,63791,125,2333,8959
ms-hp,pairs,16,7,3200000,0.304745,10500578,0,375,11042,62292,125,2334,9042
ms-hp,pairs,16,8,3200000,0.299020,10701622,0,375,10000,65042,125,2292,8875
ms-hp,pairs,16,9,3200000,0.316755,10102431,0,375,10042,62125,125,2416,9125
